File,SWE_Sum_mm
20141009_northern_hemisphere_swe_0.25grid.nc,0.00
20141010_northern_hemisphere_swe_0.25grid.nc,0.00
20141011_northern_hemisphere_swe_0.25grid.nc,0.00
20141014_northern_hemisphere_swe_0.25grid.nc,0.00
20141016_northern_hemisphere_swe_0.25grid.nc,0.00
20141020_northern_hemisphere_swe_0.25grid.nc,0.00
20141021_northern_hemisphere_swe_0.25grid.nc,0.00
20141022_northern_hemisphere_swe_0.25grid.nc,0.00
20141023_northern_hemisphere_swe_0.25grid.nc,0.00
20141026_northern_hemisphere_swe_0.25grid.nc,0.00
20141027_northern_hemisphere_swe_0.25grid.nc,0.00
20141028_northern_hemisphere_swe_0.25grid.nc,0.00
20141029_northern_hemisphere_swe_0.25grid.nc,0.00
20141030_northern_hemisphere_swe_0.25grid.nc,0.00
20141031_northern_hemisphere_swe_0.25grid.nc,0.00
20141101_northern_hemisphere_swe_0.25grid.nc,0.00
20141102_northern_hemisphere_swe_0.25grid.nc,0.00
20141103_northern_hemisphere_swe_0.25grid.nc,0.00
20141104_northern_hemisphere_swe_0.25grid.nc,0.00
20141105_northern_hemisphere_swe_0.25grid.nc,0.00
20141106_northern_hemisphere_swe_0.25grid.nc,0.00
20141107_northern_hemisphere_swe_0.25grid.nc,0.00
20141108_northern_hemisphere_swe_0.25grid.nc,0.00
20141109_northern_hemisphere_swe_0.25grid.nc,0.00
20141110_northern_hemisphere_swe_0.25grid.nc,0.00
20141112_northern_hemisphere_swe_0.25grid.nc,0.00
20141113_northern_hemisphere_swe_0.25grid.nc,0.00
20141114_northern_hemisphere_swe_0.25grid.nc,0.00
20141115_northern_hemisphere_swe_0.25grid.nc,0.00
20141116_northern_hemisphere_swe_0.25grid.nc,0.00
20141117_northern_hemisphere_swe_0.25grid.nc,0.00
20141118_northern_hemisphere_swe_0.25grid.nc,0.00
20141119_northern_hemisphere_swe_0.25grid.nc,0.00
20141120_northern_hemisphere_swe_0.25grid.nc,0.00
20141121_northern_hemisphere_swe_0.25grid.nc,0.00
20141122_northern_hemisphere_swe_0.25grid.nc,0.00
20141123_northern_hemisphere_swe_0.25grid.nc,0.00
20141124_northern_hemisphere_swe_0.25grid.nc,0.00
20141125_northern_hemisphere_swe_0.25grid.nc,0.00
20141126_northern_hemisphere_swe_0.25grid.nc,0.00
20141127_northern_hemisphere_swe_0.25grid.nc,0.00
20141128_northern_hemisphere_swe_0.25grid.nc,0.00
20141129_northern_hemisphere_swe_0.25grid.nc,0.00
20141130_northern_hemisphere_swe_0.25grid.nc,0.00
20141201_northern_hemisphere_swe_0.25grid.nc,0.00
20141202_northern_hemisphere_swe_0.25grid.nc,0.00
20141203_northern_hemisphere_swe_0.25grid.nc,0.00
20141204_northern_hemisphere_swe_0.25grid.nc,0.00
20141205_northern_hemisphere_swe_0.25grid.nc,0.00
20141206_northern_hemisphere_swe_0.25grid.nc,0.00
20141207_northern_hemisphere_swe_0.25grid.nc,0.00
20141208_northern_hemisphere_swe_0.25grid.nc,0.00
20141209_northern_hemisphere_swe_0.25grid.nc,0.00
20141210_northern_hemisphere_swe_0.25grid.nc,0.00
20141211_northern_hemisphere_swe_0.25grid.nc,0.00
20141212_northern_hemisphere_swe_0.25grid.nc,0.00
20141213_northern_hemisphere_swe_0.25grid.nc,0.00
20141214_northern_hemisphere_swe_0.25grid.nc,0.00
20141215_northern_hemisphere_swe_0.25grid.nc,0.00
20141216_northern_hemisphere_swe_0.25grid.nc,0.00
