File,SWE_Sum_mm
20121003_northern_hemisphere_swe_0.25grid.nc,0.00
20121017_northern_hemisphere_swe_0.25grid.nc,0.00
20121018_northern_hemisphere_swe_0.25grid.nc,0.00
20121019_northern_hemisphere_swe_0.25grid.nc,0.00
20121020_northern_hemisphere_swe_0.25grid.nc,0.00
20121021_northern_hemisphere_swe_0.25grid.nc,0.00
20121022_northern_hemisphere_swe_0.25grid.nc,0.00
20121023_northern_hemisphere_swe_0.25grid.nc,0.00
20121024_northern_hemisphere_swe_0.25grid.nc,0.00
20121025_northern_hemisphere_swe_0.25grid.nc,0.00
20121026_northern_hemisphere_swe_0.25grid.nc,0.00
20121027_northern_hemisphere_swe_0.25grid.nc,0.00
20121028_northern_hemisphere_swe_0.25grid.nc,0.00
20121029_northern_hemisphere_swe_0.25grid.nc,0.00
20121030_northern_hemisphere_swe_0.25grid.nc,0.00
20121031_northern_hemisphere_swe_0.25grid.nc,0.00
20121101_northern_hemisphere_swe_0.25grid.nc,0.00
20121102_northern_hemisphere_swe_0.25grid.nc,0.00
20121103_northern_hemisphere_swe_0.25grid.nc,0.00
20121104_northern_hemisphere_swe_0.25grid.nc,0.00
20121105_northern_hemisphere_swe_0.25grid.nc,0.00
20121106_northern_hemisphere_swe_0.25grid.nc,0.00
20121107_northern_hemisphere_swe_0.25grid.nc,0.00
20121108_northern_hemisphere_swe_0.25grid.nc,0.00
20121109_northern_hemisphere_swe_0.25grid.nc,0.00
20121110_northern_hemisphere_swe_0.25grid.nc,0.00
20121111_northern_hemisphere_swe_0.25grid.nc,0.00
20121112_northern_hemisphere_swe_0.25grid.nc,0.00
20121113_northern_hemisphere_swe_0.25grid.nc,0.00
20121114_northern_hemisphere_swe_0.25grid.nc,0.00
20121115_northern_hemisphere_swe_0.25grid.nc,0.00
20121116_northern_hemisphere_swe_0.25grid.nc,0.00
20121117_northern_hemisphere_swe_0.25grid.nc,0.00
20121118_northern_hemisphere_swe_0.25grid.nc,0.00
20121119_northern_hemisphere_swe_0.25grid.nc,0.00
20121120_northern_hemisphere_swe_0.25grid.nc,0.00
20121121_northern_hemisphere_swe_0.25grid.nc,0.00
20121122_northern_hemisphere_swe_0.25grid.nc,0.00
20121123_northern_hemisphere_swe_0.25grid.nc,0.00
20121124_northern_hemisphere_swe_0.25grid.nc,0.00
20121125_northern_hemisphere_swe_0.25grid.nc,0.00
20121126_northern_hemisphere_swe_0.25grid.nc,0.00
20121127_northern_hemisphere_swe_0.25grid.nc,0.00
20121128_northern_hemisphere_swe_0.25grid.nc,0.00
20121129_northern_hemisphere_swe_0.25grid.nc,0.00
20121130_northern_hemisphere_swe_0.25grid.nc,0.00
20121201_northern_hemisphere_swe_0.25grid.nc,0.00
20121202_northern_hemisphere_swe_0.25grid.nc,0.00
20121203_northern_hemisphere_swe_0.25grid.nc,0.00
20121204_northern_hemisphere_swe_0.25grid.nc,0.00
20121205_northern_hemisphere_swe_0.25grid.nc,0.00
20121206_northern_hemisphere_swe_0.25grid.nc,0.00
20121207_northern_hemisphere_swe_0.25grid.nc,0.00
20121208_northern_hemisphere_swe_0.25grid.nc,0.00
20121209_northern_hemisphere_swe_0.25grid.nc,0.00
20121210_northern_hemisphere_swe_0.25grid.nc,0.00
20121211_northern_hemisphere_swe_0.25grid.nc,0.00
20121212_northern_hemisphere_swe_0.25grid.nc,0.00
20121213_northern_hemisphere_swe_0.25grid.nc,0.00
20121214_northern_hemisphere_swe_0.25grid.nc,0.00
20121216_northern_hemisphere_swe_0.25grid.nc,0.00
20121217_northern_hemisphere_swe_0.25grid.nc,0.00
20121218_northern_hemisphere_swe_0.25grid.nc,0.00
20121219_northern_hemisphere_swe_0.25grid.nc,0.00
20121220_northern_hemisphere_swe_0.25grid.nc,0.00
20121221_northern_hemisphere_swe_0.25grid.nc,0.00
20121222_northern_hemisphere_swe_0.25grid.nc,0.00
20121223_northern_hemisphere_swe_0.25grid.nc,0.00
20121224_northern_hemisphere_swe_0.25grid.nc,0.00
20121225_northern_hemisphere_swe_0.25grid.nc,0.00
20121226_northern_hemisphere_swe_0.25grid.nc,0.00
20121227_northern_hemisphere_swe_0.25grid.nc,2.00
20121228_northern_hemisphere_swe_0.25grid.nc,0.00
20121229_northern_hemisphere_swe_0.25grid.nc,0.00
20121230_northern_hemisphere_swe_0.25grid.nc,10.00
20121231_northern_hemisphere_swe_0.25grid.nc,5.00
20130101_northern_hemisphere_swe_0.25grid.nc,0.00
20130102_northern_hemisphere_swe_0.25grid.nc,0.00
20130103_northern_hemisphere_swe_0.25grid.nc,0.00
20130104_northern_hemisphere_swe_0.25grid.nc,0.00
20130105_northern_hemisphere_swe_0.25grid.nc,0.00
20130106_northern_hemisphere_swe_0.25grid.nc,0.00
20130107_northern_hemisphere_swe_0.25grid.nc,0.00
20130108_northern_hemisphere_swe_0.25grid.nc,0.00
20130109_northern_hemisphere_swe_0.25grid.nc,0.00
20130110_northern_hemisphere_swe_0.25grid.nc,0.00
20130111_northern_hemisphere_swe_0.25grid.nc,0.00
20130112_northern_hemisphere_swe_0.25grid.nc,0.00
20130113_northern_hemisphere_swe_0.25grid.nc,0.00
20130114_northern_hemisphere_swe_0.25grid.nc,0.00
20130115_northern_hemisphere_swe_0.25grid.nc,0.00
20130116_northern_hemisphere_swe_0.25grid.nc,0.00
20130117_northern_hemisphere_swe_0.25grid.nc,0.00
20130118_northern_hemisphere_swe_0.25grid.nc,0.00
20130119_northern_hemisphere_swe_0.25grid.nc,0.00
20130120_northern_hemisphere_swe_0.25grid.nc,0.00
20130122_northern_hemisphere_swe_0.25grid.nc,0.00
20130123_northern_hemisphere_swe_0.25grid.nc,0.00
20130124_northern_hemisphere_swe_0.25grid.nc,0.00
20130125_northern_hemisphere_swe_0.25grid.nc,0.00
20130126_northern_hemisphere_swe_0.25grid.nc,0.00
20130127_northern_hemisphere_swe_0.25grid.nc,0.00
20130128_northern_hemisphere_swe_0.25grid.nc,0.00
20130129_northern_hemisphere_swe_0.25grid.nc,0.00
20130130_northern_hemisphere_swe_0.25grid.nc,0.00
20130131_northern_hemisphere_swe_0.25grid.nc,0.00
20130201_northern_hemisphere_swe_0.25grid.nc,0.00
20130202_northern_hemisphere_swe_0.25grid.nc,0.00
20130203_northern_hemisphere_swe_0.25grid.nc,0.00
20130204_northern_hemisphere_swe_0.25grid.nc,0.00
20130205_northern_hemisphere_swe_0.25grid.nc,0.00
20130206_northern_hemisphere_swe_0.25grid.nc,0.00
20130207_northern_hemisphere_swe_0.25grid.nc,0.00
20130208_northern_hemisphere_swe_0.25grid.nc,0.00
20130209_northern_hemisphere_swe_0.25grid.nc,0.00
20130210_northern_hemisphere_swe_0.25grid.nc,0.00
20130211_northern_hemisphere_swe_0.25grid.nc,0.00
20130212_northern_hemisphere_swe_0.25grid.nc,0.00
20130213_northern_hemisphere_swe_0.25grid.nc,0.00
20130214_northern_hemisphere_swe_0.25grid.nc,86.00
20130215_northern_hemisphere_swe_0.25grid.nc,1520.00
