File,SWE_Sum_mm
20011002_northern_hemisphere_swe_0.25grid.nc,0.00
20011003_northern_hemisphere_swe_0.25grid.nc,0.00
20011004_northern_hemisphere_swe_0.25grid.nc,0.00
20011008_northern_hemisphere_swe_0.25grid.nc,0.00
20011009_northern_hemisphere_swe_0.25grid.nc,0.00
20011010_northern_hemisphere_swe_0.25grid.nc,0.00
20011013_northern_hemisphere_swe_0.25grid.nc,0.00
20011014_northern_hemisphere_swe_0.25grid.nc,0.00
20011015_northern_hemisphere_swe_0.25grid.nc,0.00
20011016_northern_hemisphere_swe_0.25grid.nc,0.00
20011017_northern_hemisphere_swe_0.25grid.nc,0.00
20011018_northern_hemisphere_swe_0.25grid.nc,0.00
20011019_northern_hemisphere_swe_0.25grid.nc,0.00
20011020_northern_hemisphere_swe_0.25grid.nc,0.00
20011021_northern_hemisphere_swe_0.25grid.nc,0.00
20011022_northern_hemisphere_swe_0.25grid.nc,0.00
20011023_northern_hemisphere_swe_0.25grid.nc,0.00
20011024_northern_hemisphere_swe_0.25grid.nc,0.00
20011025_northern_hemisphere_swe_0.25grid.nc,0.00
20011026_northern_hemisphere_swe_0.25grid.nc,0.00
20011027_northern_hemisphere_swe_0.25grid.nc,0.00
20011028_northern_hemisphere_swe_0.25grid.nc,0.00
20011029_northern_hemisphere_swe_0.25grid.nc,0.00
20011030_northern_hemisphere_swe_0.25grid.nc,0.00
20011031_northern_hemisphere_swe_0.25grid.nc,0.00
20011101_northern_hemisphere_swe_0.25grid.nc,0.00
20011102_northern_hemisphere_swe_0.25grid.nc,0.00
20011103_northern_hemisphere_swe_0.25grid.nc,0.00
20011104_northern_hemisphere_swe_0.25grid.nc,0.00
20011105_northern_hemisphere_swe_0.25grid.nc,0.00
20011106_northern_hemisphere_swe_0.25grid.nc,0.00
20011107_northern_hemisphere_swe_0.25grid.nc,0.00
20011108_northern_hemisphere_swe_0.25grid.nc,0.00
20011109_northern_hemisphere_swe_0.25grid.nc,0.00
20011110_northern_hemisphere_swe_0.25grid.nc,0.00
20011111_northern_hemisphere_swe_0.25grid.nc,0.00
20011112_northern_hemisphere_swe_0.25grid.nc,0.00
20011113_northern_hemisphere_swe_0.25grid.nc,0.00
20011114_northern_hemisphere_swe_0.25grid.nc,0.00
20011115_northern_hemisphere_swe_0.25grid.nc,0.00
20011116_northern_hemisphere_swe_0.25grid.nc,0.00
20011117_northern_hemisphere_swe_0.25grid.nc,0.00
20011118_northern_hemisphere_swe_0.25grid.nc,0.00
20011119_northern_hemisphere_swe_0.25grid.nc,0.00
20011120_northern_hemisphere_swe_0.25grid.nc,0.00
20011121_northern_hemisphere_swe_0.25grid.nc,0.00
20011122_northern_hemisphere_swe_0.25grid.nc,0.00
