File,SWE_Sum_mm
20000927_northern_hemisphere_swe_0.25grid.nc,0.00
20001015_northern_hemisphere_swe_0.25grid.nc,0.00
20001016_northern_hemisphere_swe_0.25grid.nc,0.00
20001025_northern_hemisphere_swe_0.25grid.nc,0.00
20001026_northern_hemisphere_swe_0.25grid.nc,0.00
20001027_northern_hemisphere_swe_0.25grid.nc,0.00
20001028_northern_hemisphere_swe_0.25grid.nc,0.00
20001029_northern_hemisphere_swe_0.25grid.nc,0.00
20001031_northern_hemisphere_swe_0.25grid.nc,0.00
20001101_northern_hemisphere_swe_0.25grid.nc,0.00
20001102_northern_hemisphere_swe_0.25grid.nc,0.00
20001103_northern_hemisphere_swe_0.25grid.nc,0.00
20001104_northern_hemisphere_swe_0.25grid.nc,0.00
20001105_northern_hemisphere_swe_0.25grid.nc,0.00
20001106_northern_hemisphere_swe_0.25grid.nc,0.00
20001107_northern_hemisphere_swe_0.25grid.nc,0.00
20001108_northern_hemisphere_swe_0.25grid.nc,0.00
20001109_northern_hemisphere_swe_0.25grid.nc,0.00
20001110_northern_hemisphere_swe_0.25grid.nc,0.00
20001111_northern_hemisphere_swe_0.25grid.nc,0.00
20001112_northern_hemisphere_swe_0.25grid.nc,0.00
20001113_northern_hemisphere_swe_0.25grid.nc,0.00
20001114_northern_hemisphere_swe_0.25grid.nc,0.00
20001115_northern_hemisphere_swe_0.25grid.nc,0.00
20001116_northern_hemisphere_swe_0.25grid.nc,0.00
20001117_northern_hemisphere_swe_0.25grid.nc,0.00
20001118_northern_hemisphere_swe_0.25grid.nc,0.00
20001119_northern_hemisphere_swe_0.25grid.nc,0.00
20001120_northern_hemisphere_swe_0.25grid.nc,1.00
20001121_northern_hemisphere_swe_0.25grid.nc,69.00
20001122_northern_hemisphere_swe_0.25grid.nc,174.00
20001123_northern_hemisphere_swe_0.25grid.nc,221.00
20001124_northern_hemisphere_swe_0.25grid.nc,205.00
20001125_northern_hemisphere_swe_0.25grid.nc,175.00
20001126_northern_hemisphere_swe_0.25grid.nc,84.00
20001128_northern_hemisphere_swe_0.25grid.nc,2.00
20001129_northern_hemisphere_swe_0.25grid.nc,11.00
20001130_northern_hemisphere_swe_0.25grid.nc,164.00
20001202_northern_hemisphere_swe_0.25grid.nc,145.00
20001203_northern_hemisphere_swe_0.25grid.nc,156.00
20001204_northern_hemisphere_swe_0.25grid.nc,114.00
20001205_northern_hemisphere_swe_0.25grid.nc,430.00
20001206_northern_hemisphere_swe_0.25grid.nc,569.00
