File,SWE_Sum_mm
20091007_northern_hemisphere_swe_0.25grid.nc,0.00
20091008_northern_hemisphere_swe_0.25grid.nc,0.00
20091009_northern_hemisphere_swe_0.25grid.nc,0.00
20091011_northern_hemisphere_swe_0.25grid.nc,0.00
20091012_northern_hemisphere_swe_0.25grid.nc,0.00
20091013_northern_hemisphere_swe_0.25grid.nc,0.00
20091014_northern_hemisphere_swe_0.25grid.nc,0.00
20091015_northern_hemisphere_swe_0.25grid.nc,0.00
20091016_northern_hemisphere_swe_0.25grid.nc,0.00
20091018_northern_hemisphere_swe_0.25grid.nc,0.00
20091019_northern_hemisphere_swe_0.25grid.nc,0.00
20091020_northern_hemisphere_swe_0.25grid.nc,0.00
20091021_northern_hemisphere_swe_0.25grid.nc,0.00
20091022_northern_hemisphere_swe_0.25grid.nc,0.00
20091024_northern_hemisphere_swe_0.25grid.nc,0.00
20091025_northern_hemisphere_swe_0.25grid.nc,0.00
20091026_northern_hemisphere_swe_0.25grid.nc,0.00
20091027_northern_hemisphere_swe_0.25grid.nc,0.00
20091028_northern_hemisphere_swe_0.25grid.nc,0.00
20091029_northern_hemisphere_swe_0.25grid.nc,0.00
20091030_northern_hemisphere_swe_0.25grid.nc,0.00
20091031_northern_hemisphere_swe_0.25grid.nc,0.00
20091101_northern_hemisphere_swe_0.25grid.nc,0.00
20091102_northern_hemisphere_swe_0.25grid.nc,0.00
20091103_northern_hemisphere_swe_0.25grid.nc,0.00
20091104_northern_hemisphere_swe_0.25grid.nc,0.00
20091105_northern_hemisphere_swe_0.25grid.nc,0.00
20091106_northern_hemisphere_swe_0.25grid.nc,0.00
20091107_northern_hemisphere_swe_0.25grid.nc,0.00
20091108_northern_hemisphere_swe_0.25grid.nc,0.00
20091109_northern_hemisphere_swe_0.25grid.nc,0.00
20091110_northern_hemisphere_swe_0.25grid.nc,0.00
20091111_northern_hemisphere_swe_0.25grid.nc,0.00
20091112_northern_hemisphere_swe_0.25grid.nc,0.00
20091113_northern_hemisphere_swe_0.25grid.nc,0.00
20091114_northern_hemisphere_swe_0.25grid.nc,0.00
20091115_northern_hemisphere_swe_0.25grid.nc,0.00
20091116_northern_hemisphere_swe_0.25grid.nc,0.00
20091117_northern_hemisphere_swe_0.25grid.nc,0.00
20091118_northern_hemisphere_swe_0.25grid.nc,0.00
20091119_northern_hemisphere_swe_0.25grid.nc,0.00
20091120_northern_hemisphere_swe_0.25grid.nc,0.00
20091121_northern_hemisphere_swe_0.25grid.nc,0.00
20091122_northern_hemisphere_swe_0.25grid.nc,0.00
20091124_northern_hemisphere_swe_0.25grid.nc,0.00
20091125_northern_hemisphere_swe_0.25grid.nc,0.00
20091126_northern_hemisphere_swe_0.25grid.nc,0.00
20091127_northern_hemisphere_swe_0.25grid.nc,0.00
20091128_northern_hemisphere_swe_0.25grid.nc,0.00
20091129_northern_hemisphere_swe_0.25grid.nc,0.00
20091130_northern_hemisphere_swe_0.25grid.nc,0.00
20091201_northern_hemisphere_swe_0.25grid.nc,0.00
20091202_northern_hemisphere_swe_0.25grid.nc,0.00
20091203_northern_hemisphere_swe_0.25grid.nc,0.00
20091204_northern_hemisphere_swe_0.25grid.nc,0.00
20091205_northern_hemisphere_swe_0.25grid.nc,0.00
20091206_northern_hemisphere_swe_0.25grid.nc,0.00
20091208_northern_hemisphere_swe_0.25grid.nc,0.00
20091209_northern_hemisphere_swe_0.25grid.nc,0.00
20091210_northern_hemisphere_swe_0.25grid.nc,191.00
20091211_northern_hemisphere_swe_0.25grid.nc,75.00
20091212_northern_hemisphere_swe_0.25grid.nc,39.00
20091213_northern_hemisphere_swe_0.25grid.nc,19.00
20091215_northern_hemisphere_swe_0.25grid.nc,647.00
20091216_northern_hemisphere_swe_0.25grid.nc,1959.00
20091217_northern_hemisphere_swe_0.25grid.nc,1750.00
20091218_northern_hemisphere_swe_0.25grid.nc,1782.00
20091219_northern_hemisphere_swe_0.25grid.nc,1817.00
