File,SWE_Sum_mm
20031019_northern_hemisphere_swe_0.25grid.nc,0.00
20031020_northern_hemisphere_swe_0.25grid.nc,0.00
20031021_northern_hemisphere_swe_0.25grid.nc,0.00
20031022_northern_hemisphere_swe_0.25grid.nc,0.00
20031024_northern_hemisphere_swe_0.25grid.nc,0.00
20031025_northern_hemisphere_swe_0.25grid.nc,0.00
20031027_northern_hemisphere_swe_0.25grid.nc,0.00
20031028_northern_hemisphere_swe_0.25grid.nc,0.00
20031030_northern_hemisphere_swe_0.25grid.nc,0.00
20031031_northern_hemisphere_swe_0.25grid.nc,0.00
20031101_northern_hemisphere_swe_0.25grid.nc,0.00
20031102_northern_hemisphere_swe_0.25grid.nc,0.00
20031103_northern_hemisphere_swe_0.25grid.nc,0.00
20031104_northern_hemisphere_swe_0.25grid.nc,0.00
20031105_northern_hemisphere_swe_0.25grid.nc,0.00
20031106_northern_hemisphere_swe_0.25grid.nc,0.00
20031107_northern_hemisphere_swe_0.25grid.nc,0.00
20031108_northern_hemisphere_swe_0.25grid.nc,0.00
20031109_northern_hemisphere_swe_0.25grid.nc,0.00
20031110_northern_hemisphere_swe_0.25grid.nc,0.00
20031111_northern_hemisphere_swe_0.25grid.nc,0.00
20031112_northern_hemisphere_swe_0.25grid.nc,0.00
20031113_northern_hemisphere_swe_0.25grid.nc,0.00
20031114_northern_hemisphere_swe_0.25grid.nc,0.00
20031115_northern_hemisphere_swe_0.25grid.nc,0.00
20031116_northern_hemisphere_swe_0.25grid.nc,0.00
20031117_northern_hemisphere_swe_0.25grid.nc,0.00
20031118_northern_hemisphere_swe_0.25grid.nc,0.00
20031119_northern_hemisphere_swe_0.25grid.nc,0.00
20031120_northern_hemisphere_swe_0.25grid.nc,0.00
20031121_northern_hemisphere_swe_0.25grid.nc,0.00
20031122_northern_hemisphere_swe_0.25grid.nc,0.00
20031123_northern_hemisphere_swe_0.25grid.nc,0.00
20031124_northern_hemisphere_swe_0.25grid.nc,0.00
20031125_northern_hemisphere_swe_0.25grid.nc,0.00
20031126_northern_hemisphere_swe_0.25grid.nc,0.00
20031127_northern_hemisphere_swe_0.25grid.nc,0.00
20031128_northern_hemisphere_swe_0.25grid.nc,0.00
20031129_northern_hemisphere_swe_0.25grid.nc,16.00
20031130_northern_hemisphere_swe_0.25grid.nc,0.00
20031201_northern_hemisphere_swe_0.25grid.nc,478.00
20031202_northern_hemisphere_swe_0.25grid.nc,728.00
20031203_northern_hemisphere_swe_0.25grid.nc,1436.00
20031204_northern_hemisphere_swe_0.25grid.nc,651.00
20031205_northern_hemisphere_swe_0.25grid.nc,521.00
20031206_northern_hemisphere_swe_0.25grid.nc,418.00
20031207_northern_hemisphere_swe_0.25grid.nc,863.00
20031208_northern_hemisphere_swe_0.25grid.nc,866.00
20031209_northern_hemisphere_swe_0.25grid.nc,395.00
20031210_northern_hemisphere_swe_0.25grid.nc,217.00
20031211_northern_hemisphere_swe_0.25grid.nc,65.00
20031212_northern_hemisphere_swe_0.25grid.nc,137.00
20031213_northern_hemisphere_swe_0.25grid.nc,403.00
20031214_northern_hemisphere_swe_0.25grid.nc,318.00
20031215_northern_hemisphere_swe_0.25grid.nc,606.00
20031216_northern_hemisphere_swe_0.25grid.nc,528.00
20031217_northern_hemisphere_swe_0.25grid.nc,122.00
20031218_northern_hemisphere_swe_0.25grid.nc,478.00
20031219_northern_hemisphere_swe_0.25grid.nc,253.00
20031220_northern_hemisphere_swe_0.25grid.nc,560.00
20031221_northern_hemisphere_swe_0.25grid.nc,438.00
20031222_northern_hemisphere_swe_0.25grid.nc,154.00
20031223_northern_hemisphere_swe_0.25grid.nc,5.00
20031224_northern_hemisphere_swe_0.25grid.nc,15.00
20031225_northern_hemisphere_swe_0.25grid.nc,228.00
20031227_northern_hemisphere_swe_0.25grid.nc,161.00
20031228_northern_hemisphere_swe_0.25grid.nc,24.00
20031229_northern_hemisphere_swe_0.25grid.nc,0.00
20031230_northern_hemisphere_swe_0.25grid.nc,0.00
20031231_northern_hemisphere_swe_0.25grid.nc,0.00
20040101_northern_hemisphere_swe_0.25grid.nc,0.00
20040102_northern_hemisphere_swe_0.25grid.nc,20.00
20040103_northern_hemisphere_swe_0.25grid.nc,0.00
20040104_northern_hemisphere_swe_0.25grid.nc,0.00
20040105_northern_hemisphere_swe_0.25grid.nc,80.00
20040106_northern_hemisphere_swe_0.25grid.nc,403.00
20040107_northern_hemisphere_swe_0.25grid.nc,726.00
20040108_northern_hemisphere_swe_0.25grid.nc,818.00
20040109_northern_hemisphere_swe_0.25grid.nc,883.00
20040110_northern_hemisphere_swe_0.25grid.nc,799.00
20040112_northern_hemisphere_swe_0.25grid.nc,1201.00
20040113_northern_hemisphere_swe_0.25grid.nc,1339.00
20040114_northern_hemisphere_swe_0.25grid.nc,1396.00
20040115_northern_hemisphere_swe_0.25grid.nc,2029.00
20040116_northern_hemisphere_swe_0.25grid.nc,1960.00
20040117_northern_hemisphere_swe_0.25grid.nc,1984.00
20040118_northern_hemisphere_swe_0.25grid.nc,2229.00
20040119_northern_hemisphere_swe_0.25grid.nc,2629.00
20040120_northern_hemisphere_swe_0.25grid.nc,2965.00
20040121_northern_hemisphere_swe_0.25grid.nc,3208.00
20040122_northern_hemisphere_swe_0.25grid.nc,3655.00
20040123_northern_hemisphere_swe_0.25grid.nc,3851.00
20040124_northern_hemisphere_swe_0.25grid.nc,3702.00
20040125_northern_hemisphere_swe_0.25grid.nc,3949.00
20040126_northern_hemisphere_swe_0.25grid.nc,3562.00
20040127_northern_hemisphere_swe_0.25grid.nc,3901.00
20040128_northern_hemisphere_swe_0.25grid.nc,4922.00
20040129_northern_hemisphere_swe_0.25grid.nc,5710.00
20040130_northern_hemisphere_swe_0.25grid.nc,5926.00
20040131_northern_hemisphere_swe_0.25grid.nc,5729.00
20040201_northern_hemisphere_swe_0.25grid.nc,5770.00
20040202_northern_hemisphere_swe_0.25grid.nc,5400.00
20040203_northern_hemisphere_swe_0.25grid.nc,4788.00
20040204_northern_hemisphere_swe_0.25grid.nc,5077.00
20040205_northern_hemisphere_swe_0.25grid.nc,5467.00
20040206_northern_hemisphere_swe_0.25grid.nc,4637.00
20040207_northern_hemisphere_swe_0.25grid.nc,5816.00
20040208_northern_hemisphere_swe_0.25grid.nc,5790.00
20040209_northern_hemisphere_swe_0.25grid.nc,5128.00
20040210_northern_hemisphere_swe_0.25grid.nc,4904.00
20040211_northern_hemisphere_swe_0.25grid.nc,5605.00
20040212_northern_hemisphere_swe_0.25grid.nc,5012.00
20040213_northern_hemisphere_swe_0.25grid.nc,5437.00
20040214_northern_hemisphere_swe_0.25grid.nc,5326.00
20040215_northern_hemisphere_swe_0.25grid.nc,5448.00
20040216_northern_hemisphere_swe_0.25grid.nc,5712.00
20040217_northern_hemisphere_swe_0.25grid.nc,5386.00
20040218_northern_hemisphere_swe_0.25grid.nc,5417.00
20040220_northern_hemisphere_swe_0.25grid.nc,4172.00
20040221_northern_hemisphere_swe_0.25grid.nc,4795.00
20040222_northern_hemisphere_swe_0.25grid.nc,5533.00
20040223_northern_hemisphere_swe_0.25grid.nc,5401.00
20040224_northern_hemisphere_swe_0.25grid.nc,5587.00
20040225_northern_hemisphere_swe_0.25grid.nc,4781.00
20040226_northern_hemisphere_swe_0.25grid.nc,4607.00
20040227_northern_hemisphere_swe_0.25grid.nc,4523.00
20040228_northern_hemisphere_swe_0.25grid.nc,4558.00
20040229_northern_hemisphere_swe_0.25grid.nc,3182.00
20040301_northern_hemisphere_swe_0.25grid.nc,2538.00
20040302_northern_hemisphere_swe_0.25grid.nc,1968.00
20040303_northern_hemisphere_swe_0.25grid.nc,1404.00
20040304_northern_hemisphere_swe_0.25grid.nc,1171.00
