File,SWE_Sum_mm
20100930_northern_hemisphere_swe_0.25grid.nc,0.00
20101001_northern_hemisphere_swe_0.25grid.nc,0.00
20101012_northern_hemisphere_swe_0.25grid.nc,0.00
20101013_northern_hemisphere_swe_0.25grid.nc,0.00
20101014_northern_hemisphere_swe_0.25grid.nc,0.00
20101015_northern_hemisphere_swe_0.25grid.nc,0.00
20101016_northern_hemisphere_swe_0.25grid.nc,0.00
20101017_northern_hemisphere_swe_0.25grid.nc,0.00
20101018_northern_hemisphere_swe_0.25grid.nc,0.00
20101019_northern_hemisphere_swe_0.25grid.nc,0.00
20101020_northern_hemisphere_swe_0.25grid.nc,0.00
20101021_northern_hemisphere_swe_0.25grid.nc,0.00
20101022_northern_hemisphere_swe_0.25grid.nc,0.00
20101023_northern_hemisphere_swe_0.25grid.nc,0.00
20101024_northern_hemisphere_swe_0.25grid.nc,0.00
20101025_northern_hemisphere_swe_0.25grid.nc,0.00
20101026_northern_hemisphere_swe_0.25grid.nc,0.00
20101027_northern_hemisphere_swe_0.25grid.nc,0.00
20101028_northern_hemisphere_swe_0.25grid.nc,0.00
20101029_northern_hemisphere_swe_0.25grid.nc,0.00
20101030_northern_hemisphere_swe_0.25grid.nc,0.00
20101031_northern_hemisphere_swe_0.25grid.nc,0.00
20101101_northern_hemisphere_swe_0.25grid.nc,0.00
20101102_northern_hemisphere_swe_0.25grid.nc,0.00
20101103_northern_hemisphere_swe_0.25grid.nc,0.00
20101104_northern_hemisphere_swe_0.25grid.nc,0.00
20101105_northern_hemisphere_swe_0.25grid.nc,0.00
20101106_northern_hemisphere_swe_0.25grid.nc,0.00
20101107_northern_hemisphere_swe_0.25grid.nc,0.00
20101108_northern_hemisphere_swe_0.25grid.nc,0.00
20101109_northern_hemisphere_swe_0.25grid.nc,0.00
20101110_northern_hemisphere_swe_0.25grid.nc,0.00
20101111_northern_hemisphere_swe_0.25grid.nc,0.00
20101112_northern_hemisphere_swe_0.25grid.nc,0.00
20101113_northern_hemisphere_swe_0.25grid.nc,0.00
20101114_northern_hemisphere_swe_0.25grid.nc,0.00
20101115_northern_hemisphere_swe_0.25grid.nc,0.00
20101116_northern_hemisphere_swe_0.25grid.nc,0.00
20101117_northern_hemisphere_swe_0.25grid.nc,0.00
20101118_northern_hemisphere_swe_0.25grid.nc,0.00
20101119_northern_hemisphere_swe_0.25grid.nc,0.00
20101120_northern_hemisphere_swe_0.25grid.nc,0.00
20101121_northern_hemisphere_swe_0.25grid.nc,0.00
20101122_northern_hemisphere_swe_0.25grid.nc,0.00
20101123_northern_hemisphere_swe_0.25grid.nc,0.00
20101124_northern_hemisphere_swe_0.25grid.nc,0.00
20101125_northern_hemisphere_swe_0.25grid.nc,0.00
20101126_northern_hemisphere_swe_0.25grid.nc,0.00
20101127_northern_hemisphere_swe_0.25grid.nc,0.00
20101128_northern_hemisphere_swe_0.25grid.nc,0.00
20101129_northern_hemisphere_swe_0.25grid.nc,0.00
20101130_northern_hemisphere_swe_0.25grid.nc,0.00
20101201_northern_hemisphere_swe_0.25grid.nc,0.00
20101203_northern_hemisphere_swe_0.25grid.nc,0.00
20101204_northern_hemisphere_swe_0.25grid.nc,0.00
20101205_northern_hemisphere_swe_0.25grid.nc,0.00
