File,SWE_Sum_mm
20061005_northern_hemisphere_swe_0.25grid.nc,0.00
20061006_northern_hemisphere_swe_0.25grid.nc,0.00
20061007_northern_hemisphere_swe_0.25grid.nc,0.00
20061010_northern_hemisphere_swe_0.25grid.nc,0.00
20061013_northern_hemisphere_swe_0.25grid.nc,0.00
20061014_northern_hemisphere_swe_0.25grid.nc,0.00
20061015_northern_hemisphere_swe_0.25grid.nc,0.00
20061016_northern_hemisphere_swe_0.25grid.nc,0.00
20061017_northern_hemisphere_swe_0.25grid.nc,0.00
20061018_northern_hemisphere_swe_0.25grid.nc,0.00
20061021_northern_hemisphere_swe_0.25grid.nc,0.00
20061022_northern_hemisphere_swe_0.25grid.nc,0.00
20061023_northern_hemisphere_swe_0.25grid.nc,0.00
20061025_northern_hemisphere_swe_0.25grid.nc,0.00
20061029_northern_hemisphere_swe_0.25grid.nc,0.00
20061030_northern_hemisphere_swe_0.25grid.nc,0.00
20061031_northern_hemisphere_swe_0.25grid.nc,0.00
20061102_northern_hemisphere_swe_0.25grid.nc,0.00
20061103_northern_hemisphere_swe_0.25grid.nc,0.00
20061104_northern_hemisphere_swe_0.25grid.nc,0.00
20061105_northern_hemisphere_swe_0.25grid.nc,0.00
20061106_northern_hemisphere_swe_0.25grid.nc,0.00
20061107_northern_hemisphere_swe_0.25grid.nc,0.00
20061108_northern_hemisphere_swe_0.25grid.nc,0.00
20061109_northern_hemisphere_swe_0.25grid.nc,0.00
20061110_northern_hemisphere_swe_0.25grid.nc,0.00
20061111_northern_hemisphere_swe_0.25grid.nc,0.00
20061112_northern_hemisphere_swe_0.25grid.nc,0.00
20061113_northern_hemisphere_swe_0.25grid.nc,0.00
20061114_northern_hemisphere_swe_0.25grid.nc,0.00
20061115_northern_hemisphere_swe_0.25grid.nc,0.00
20061116_northern_hemisphere_swe_0.25grid.nc,0.00
20061117_northern_hemisphere_swe_0.25grid.nc,0.00
20061118_northern_hemisphere_swe_0.25grid.nc,0.00
20061119_northern_hemisphere_swe_0.25grid.nc,0.00
20061120_northern_hemisphere_swe_0.25grid.nc,0.00
20061121_northern_hemisphere_swe_0.25grid.nc,0.00
20061122_northern_hemisphere_swe_0.25grid.nc,0.00
20061123_northern_hemisphere_swe_0.25grid.nc,0.00
20061124_northern_hemisphere_swe_0.25grid.nc,0.00
20061125_northern_hemisphere_swe_0.25grid.nc,0.00
20061126_northern_hemisphere_swe_0.25grid.nc,0.00
20061127_northern_hemisphere_swe_0.25grid.nc,0.00
20061128_northern_hemisphere_swe_0.25grid.nc,0.00
20061129_northern_hemisphere_swe_0.25grid.nc,0.00
20061130_northern_hemisphere_swe_0.25grid.nc,0.00
20061201_northern_hemisphere_swe_0.25grid.nc,0.00
20061202_northern_hemisphere_swe_0.25grid.nc,0.00
20061203_northern_hemisphere_swe_0.25grid.nc,0.00
20061204_northern_hemisphere_swe_0.25grid.nc,14.00
20061205_northern_hemisphere_swe_0.25grid.nc,82.00
20061206_northern_hemisphere_swe_0.25grid.nc,68.00
20061207_northern_hemisphere_swe_0.25grid.nc,217.00
20061208_northern_hemisphere_swe_0.25grid.nc,240.00
20061209_northern_hemisphere_swe_0.25grid.nc,187.00
20061210_northern_hemisphere_swe_0.25grid.nc,128.00
20061211_northern_hemisphere_swe_0.25grid.nc,31.00
20061212_northern_hemisphere_swe_0.25grid.nc,0.00
20061213_northern_hemisphere_swe_0.25grid.nc,0.00
20061214_northern_hemisphere_swe_0.25grid.nc,0.00
20061215_northern_hemisphere_swe_0.25grid.nc,0.00
20061216_northern_hemisphere_swe_0.25grid.nc,0.00
20061217_northern_hemisphere_swe_0.25grid.nc,0.00
20061218_northern_hemisphere_swe_0.25grid.nc,0.00
20061219_northern_hemisphere_swe_0.25grid.nc,0.00
20061220_northern_hemisphere_swe_0.25grid.nc,0.00
20061221_northern_hemisphere_swe_0.25grid.nc,0.00
20061222_northern_hemisphere_swe_0.25grid.nc,0.00
20061223_northern_hemisphere_swe_0.25grid.nc,0.00
20061224_northern_hemisphere_swe_0.25grid.nc,0.00
20061225_northern_hemisphere_swe_0.25grid.nc,0.00
20061226_northern_hemisphere_swe_0.25grid.nc,0.00
20061227_northern_hemisphere_swe_0.25grid.nc,0.00
20061228_northern_hemisphere_swe_0.25grid.nc,0.00
20061229_northern_hemisphere_swe_0.25grid.nc,0.00
20061230_northern_hemisphere_swe_0.25grid.nc,0.00
20061231_northern_hemisphere_swe_0.25grid.nc,0.00
20070101_northern_hemisphere_swe_0.25grid.nc,0.00
20070102_northern_hemisphere_swe_0.25grid.nc,0.00
20070103_northern_hemisphere_swe_0.25grid.nc,0.00
20070104_northern_hemisphere_swe_0.25grid.nc,0.00
20070105_northern_hemisphere_swe_0.25grid.nc,0.00
20070106_northern_hemisphere_swe_0.25grid.nc,0.00
20070107_northern_hemisphere_swe_0.25grid.nc,0.00
20070108_northern_hemisphere_swe_0.25grid.nc,0.00
20070109_northern_hemisphere_swe_0.25grid.nc,0.00
20070110_northern_hemisphere_swe_0.25grid.nc,19.00
20070111_northern_hemisphere_swe_0.25grid.nc,1.00
20070112_northern_hemisphere_swe_0.25grid.nc,0.00
20070113_northern_hemisphere_swe_0.25grid.nc,0.00
20070114_northern_hemisphere_swe_0.25grid.nc,0.00
20070115_northern_hemisphere_swe_0.25grid.nc,141.00
20070117_northern_hemisphere_swe_0.25grid.nc,220.00
20070118_northern_hemisphere_swe_0.25grid.nc,74.00
20070119_northern_hemisphere_swe_0.25grid.nc,150.00
20070120_northern_hemisphere_swe_0.25grid.nc,409.00
20070121_northern_hemisphere_swe_0.25grid.nc,311.00
20070122_northern_hemisphere_swe_0.25grid.nc,307.00
20070123_northern_hemisphere_swe_0.25grid.nc,292.00
20070124_northern_hemisphere_swe_0.25grid.nc,363.00
20070126_northern_hemisphere_swe_0.25grid.nc,392.00
20070127_northern_hemisphere_swe_0.25grid.nc,398.00
20070128_northern_hemisphere_swe_0.25grid.nc,633.00
20070129_northern_hemisphere_swe_0.25grid.nc,611.00
20070130_northern_hemisphere_swe_0.25grid.nc,700.00
20070131_northern_hemisphere_swe_0.25grid.nc,757.00
20070201_northern_hemisphere_swe_0.25grid.nc,707.00
20070202_northern_hemisphere_swe_0.25grid.nc,715.00
20070203_northern_hemisphere_swe_0.25grid.nc,748.00
20070204_northern_hemisphere_swe_0.25grid.nc,839.00
20070205_northern_hemisphere_swe_0.25grid.nc,831.00
20070206_northern_hemisphere_swe_0.25grid.nc,878.00
20070207_northern_hemisphere_swe_0.25grid.nc,972.00
20070208_northern_hemisphere_swe_0.25grid.nc,1004.00
20070209_northern_hemisphere_swe_0.25grid.nc,1082.00
20070210_northern_hemisphere_swe_0.25grid.nc,1233.00
20070211_northern_hemisphere_swe_0.25grid.nc,1166.00
20070212_northern_hemisphere_swe_0.25grid.nc,1232.00
20070213_northern_hemisphere_swe_0.25grid.nc,1131.00
20070216_northern_hemisphere_swe_0.25grid.nc,1655.00
20070217_northern_hemisphere_swe_0.25grid.nc,1646.00
20070218_northern_hemisphere_swe_0.25grid.nc,1808.00
20070219_northern_hemisphere_swe_0.25grid.nc,1743.00
20070220_northern_hemisphere_swe_0.25grid.nc,1492.00
20070221_northern_hemisphere_swe_0.25grid.nc,1315.00
20070222_northern_hemisphere_swe_0.25grid.nc,1344.00
20070223_northern_hemisphere_swe_0.25grid.nc,1633.00
20070224_northern_hemisphere_swe_0.25grid.nc,1727.00
20070225_northern_hemisphere_swe_0.25grid.nc,1709.00
20070226_northern_hemisphere_swe_0.25grid.nc,1784.00
20070227_northern_hemisphere_swe_0.25grid.nc,1479.00
20070228_northern_hemisphere_swe_0.25grid.nc,1480.00
20070301_northern_hemisphere_swe_0.25grid.nc,1470.00
20070302_northern_hemisphere_swe_0.25grid.nc,1418.00
20070303_northern_hemisphere_swe_0.25grid.nc,1690.00
20070304_northern_hemisphere_swe_0.25grid.nc,1478.00
20070305_northern_hemisphere_swe_0.25grid.nc,1741.00
20070306_northern_hemisphere_swe_0.25grid.nc,1745.00
20070307_northern_hemisphere_swe_0.25grid.nc,1927.00
20070308_northern_hemisphere_swe_0.25grid.nc,1860.00
20070309_northern_hemisphere_swe_0.25grid.nc,1764.00
20070310_northern_hemisphere_swe_0.25grid.nc,1539.00
