File,SWE_Sum_mm,,,Date,SWE Sum
20171002_northern_hemisphere_swe_0.25grid.nc,0,,,201710,0
20171017_northern_hemisphere_swe_0.25grid.nc,0,,,201710,0
20171018_northern_hemisphere_swe_0.25grid.nc,0,,,201710,0
20171019_northern_hemisphere_swe_0.25grid.nc,0,,,201710,0
20171020_northern_hemisphere_swe_0.25grid.nc,0,,,201710,0
20171021_northern_hemisphere_swe_0.25grid.nc,0,,,201710,0
20171022_northern_hemisphere_swe_0.25grid.nc,0,,,201710,0
20171023_northern_hemisphere_swe_0.25grid.nc,0,,,201710,0
20171024_northern_hemisphere_swe_0.25grid.nc,0,,,201710,0
20171025_northern_hemisphere_swe_0.25grid.nc,0,,,201710,0
20171026_northern_hemisphere_swe_0.25grid.nc,0,,,201710,0
20171030_northern_hemisphere_swe_0.25grid.nc,0,,,201710,0
20171101_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171102_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171103_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171104_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171105_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171106_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171107_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171108_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171109_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171110_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171111_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171112_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171113_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171114_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171115_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171116_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171117_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171118_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171119_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171120_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171121_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171122_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171123_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171124_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171125_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171126_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171127_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171128_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171129_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171130_northern_hemisphere_swe_0.25grid.nc,0,,,201711,0
20171201_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171202_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171203_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171204_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171205_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171206_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171207_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171208_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171209_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171210_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171211_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171212_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171213_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171214_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171215_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171216_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171217_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171218_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171219_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171220_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171221_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171222_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171223_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171224_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171225_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171226_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
20171227_northern_hemisphere_swe_0.25grid.nc,0,,,201712,0
