File,SWE_Sum_mm
20130924_northern_hemisphere_swe_0.25grid.nc,0.00
20130929_northern_hemisphere_swe_0.25grid.nc,0.00
20130930_northern_hemisphere_swe_0.25grid.nc,0.00
20131001_northern_hemisphere_swe_0.25grid.nc,0.00
20131002_northern_hemisphere_swe_0.25grid.nc,0.00
20131004_northern_hemisphere_swe_0.25grid.nc,0.00
20131005_northern_hemisphere_swe_0.25grid.nc,0.00
20131006_northern_hemisphere_swe_0.25grid.nc,0.00
20131008_northern_hemisphere_swe_0.25grid.nc,0.00
20131009_northern_hemisphere_swe_0.25grid.nc,0.00
20131010_northern_hemisphere_swe_0.25grid.nc,0.00
20131011_northern_hemisphere_swe_0.25grid.nc,0.00
20131012_northern_hemisphere_swe_0.25grid.nc,0.00
20131013_northern_hemisphere_swe_0.25grid.nc,0.00
20131014_northern_hemisphere_swe_0.25grid.nc,0.00
20131015_northern_hemisphere_swe_0.25grid.nc,0.00
20131016_northern_hemisphere_swe_0.25grid.nc,0.00
20131017_northern_hemisphere_swe_0.25grid.nc,0.00
20131018_northern_hemisphere_swe_0.25grid.nc,0.00
20131019_northern_hemisphere_swe_0.25grid.nc,0.00
20131021_northern_hemisphere_swe_0.25grid.nc,0.00
20131022_northern_hemisphere_swe_0.25grid.nc,0.00
20131023_northern_hemisphere_swe_0.25grid.nc,0.00
20131024_northern_hemisphere_swe_0.25grid.nc,0.00
20131025_northern_hemisphere_swe_0.25grid.nc,0.00
20131026_northern_hemisphere_swe_0.25grid.nc,0.00
20131027_northern_hemisphere_swe_0.25grid.nc,0.00
20131028_northern_hemisphere_swe_0.25grid.nc,0.00
20131029_northern_hemisphere_swe_0.25grid.nc,0.00
20131030_northern_hemisphere_swe_0.25grid.nc,0.00
20131101_northern_hemisphere_swe_0.25grid.nc,0.00
20131102_northern_hemisphere_swe_0.25grid.nc,0.00
20131103_northern_hemisphere_swe_0.25grid.nc,0.00
20131104_northern_hemisphere_swe_0.25grid.nc,0.00
20131105_northern_hemisphere_swe_0.25grid.nc,0.00
20131106_northern_hemisphere_swe_0.25grid.nc,0.00
20131107_northern_hemisphere_swe_0.25grid.nc,0.00
20131108_northern_hemisphere_swe_0.25grid.nc,0.00
20131109_northern_hemisphere_swe_0.25grid.nc,0.00
20131110_northern_hemisphere_swe_0.25grid.nc,0.00
20131111_northern_hemisphere_swe_0.25grid.nc,0.00
20131112_northern_hemisphere_swe_0.25grid.nc,0.00
20131113_northern_hemisphere_swe_0.25grid.nc,0.00
20131114_northern_hemisphere_swe_0.25grid.nc,0.00
20131115_northern_hemisphere_swe_0.25grid.nc,0.00
20131116_northern_hemisphere_swe_0.25grid.nc,0.00
20131117_northern_hemisphere_swe_0.25grid.nc,0.00
20131118_northern_hemisphere_swe_0.25grid.nc,0.00
20131119_northern_hemisphere_swe_0.25grid.nc,0.00
20131120_northern_hemisphere_swe_0.25grid.nc,0.00
20131121_northern_hemisphere_swe_0.25grid.nc,0.00
20131122_northern_hemisphere_swe_0.25grid.nc,0.00
20131123_northern_hemisphere_swe_0.25grid.nc,0.00
20131124_northern_hemisphere_swe_0.25grid.nc,0.00
20131126_northern_hemisphere_swe_0.25grid.nc,0.00
20131127_northern_hemisphere_swe_0.25grid.nc,0.00
20131128_northern_hemisphere_swe_0.25grid.nc,0.00
20131129_northern_hemisphere_swe_0.25grid.nc,0.00
20131130_northern_hemisphere_swe_0.25grid.nc,0.00
20131201_northern_hemisphere_swe_0.25grid.nc,0.00
20131202_northern_hemisphere_swe_0.25grid.nc,0.00
20131203_northern_hemisphere_swe_0.25grid.nc,13.00
20131204_northern_hemisphere_swe_0.25grid.nc,0.00
20131205_northern_hemisphere_swe_0.25grid.nc,0.00
20131206_northern_hemisphere_swe_0.25grid.nc,0.00
20131207_northern_hemisphere_swe_0.25grid.nc,0.00
20131208_northern_hemisphere_swe_0.25grid.nc,0.00
20131209_northern_hemisphere_swe_0.25grid.nc,0.00
20131210_northern_hemisphere_swe_0.25grid.nc,0.00
20131211_northern_hemisphere_swe_0.25grid.nc,0.00
20131212_northern_hemisphere_swe_0.25grid.nc,0.00
20131213_northern_hemisphere_swe_0.25grid.nc,0.00
20131214_northern_hemisphere_swe_0.25grid.nc,0.00
20131215_northern_hemisphere_swe_0.25grid.nc,0.00
20131216_northern_hemisphere_swe_0.25grid.nc,0.00
20131217_northern_hemisphere_swe_0.25grid.nc,2.00
20131218_northern_hemisphere_swe_0.25grid.nc,10.00
20131219_northern_hemisphere_swe_0.25grid.nc,7.00
20131220_northern_hemisphere_swe_0.25grid.nc,0.00
20131221_northern_hemisphere_swe_0.25grid.nc,2.00
20131222_northern_hemisphere_swe_0.25grid.nc,10.00
20131223_northern_hemisphere_swe_0.25grid.nc,401.00
20131224_northern_hemisphere_swe_0.25grid.nc,934.00
20131225_northern_hemisphere_swe_0.25grid.nc,334.00
20131226_northern_hemisphere_swe_0.25grid.nc,1025.00
20131227_northern_hemisphere_swe_0.25grid.nc,1054.00
20131228_northern_hemisphere_swe_0.25grid.nc,423.00
20131229_northern_hemisphere_swe_0.25grid.nc,366.00
20131230_northern_hemisphere_swe_0.25grid.nc,903.00
20140101_northern_hemisphere_swe_0.25grid.nc,1298.00
20140102_northern_hemisphere_swe_0.25grid.nc,1067.00
20140103_northern_hemisphere_swe_0.25grid.nc,1072.00
20140104_northern_hemisphere_swe_0.25grid.nc,865.00
20140105_northern_hemisphere_swe_0.25grid.nc,868.00
20140106_northern_hemisphere_swe_0.25grid.nc,1319.00
20140107_northern_hemisphere_swe_0.25grid.nc,1356.00
20140108_northern_hemisphere_swe_0.25grid.nc,1239.00
20140109_northern_hemisphere_swe_0.25grid.nc,1221.00
20140110_northern_hemisphere_swe_0.25grid.nc,1210.00
20140111_northern_hemisphere_swe_0.25grid.nc,848.00
20140112_northern_hemisphere_swe_0.25grid.nc,917.00
20140113_northern_hemisphere_swe_0.25grid.nc,608.00
20140114_northern_hemisphere_swe_0.25grid.nc,742.00
20140115_northern_hemisphere_swe_0.25grid.nc,1247.00
20140116_northern_hemisphere_swe_0.25grid.nc,2766.00
20140117_northern_hemisphere_swe_0.25grid.nc,2756.00
20140118_northern_hemisphere_swe_0.25grid.nc,2250.00
20140119_northern_hemisphere_swe_0.25grid.nc,1393.00
20140120_northern_hemisphere_swe_0.25grid.nc,2183.00
20140121_northern_hemisphere_swe_0.25grid.nc,2319.00
20140122_northern_hemisphere_swe_0.25grid.nc,2368.00
20140123_northern_hemisphere_swe_0.25grid.nc,2375.00
20140125_northern_hemisphere_swe_0.25grid.nc,2470.00
20140126_northern_hemisphere_swe_0.25grid.nc,2138.00
20140127_northern_hemisphere_swe_0.25grid.nc,2639.00
20140128_northern_hemisphere_swe_0.25grid.nc,2725.00
20140129_northern_hemisphere_swe_0.25grid.nc,2549.00
20140130_northern_hemisphere_swe_0.25grid.nc,2969.00
20140131_northern_hemisphere_swe_0.25grid.nc,3000.00
20140201_northern_hemisphere_swe_0.25grid.nc,2494.00
20140202_northern_hemisphere_swe_0.25grid.nc,2854.00
20140203_northern_hemisphere_swe_0.25grid.nc,3361.00
20140204_northern_hemisphere_swe_0.25grid.nc,3516.00
20140205_northern_hemisphere_swe_0.25grid.nc,3269.00
20140207_northern_hemisphere_swe_0.25grid.nc,3715.00
20140208_northern_hemisphere_swe_0.25grid.nc,3728.00
20140209_northern_hemisphere_swe_0.25grid.nc,4055.00
20140210_northern_hemisphere_swe_0.25grid.nc,4192.00
20140211_northern_hemisphere_swe_0.25grid.nc,3939.00
20140212_northern_hemisphere_swe_0.25grid.nc,3987.00
20140213_northern_hemisphere_swe_0.25grid.nc,3980.00
20140214_northern_hemisphere_swe_0.25grid.nc,3736.00
20140215_northern_hemisphere_swe_0.25grid.nc,4086.00
20140216_northern_hemisphere_swe_0.25grid.nc,3978.00
20140217_northern_hemisphere_swe_0.25grid.nc,4051.00
20140218_northern_hemisphere_swe_0.25grid.nc,4241.00
20140219_northern_hemisphere_swe_0.25grid.nc,4222.00
20140220_northern_hemisphere_swe_0.25grid.nc,3585.00
20140221_northern_hemisphere_swe_0.25grid.nc,3200.00
20140222_northern_hemisphere_swe_0.25grid.nc,3366.00
20140223_northern_hemisphere_swe_0.25grid.nc,4718.00
20140224_northern_hemisphere_swe_0.25grid.nc,4235.00
20140225_northern_hemisphere_swe_0.25grid.nc,4341.00
20140226_northern_hemisphere_swe_0.25grid.nc,4450.00
20140227_northern_hemisphere_swe_0.25grid.nc,4408.00
20140228_northern_hemisphere_swe_0.25grid.nc,5001.00
20140301_northern_hemisphere_swe_0.25grid.nc,4064.00
20140302_northern_hemisphere_swe_0.25grid.nc,5130.00
20140303_northern_hemisphere_swe_0.25grid.nc,5540.00
20140304_northern_hemisphere_swe_0.25grid.nc,4993.00
20140305_northern_hemisphere_swe_0.25grid.nc,5199.00
20140306_northern_hemisphere_swe_0.25grid.nc,5355.00
20140307_northern_hemisphere_swe_0.25grid.nc,4797.00
20140308_northern_hemisphere_swe_0.25grid.nc,4470.00
20140309_northern_hemisphere_swe_0.25grid.nc,5053.00
20140310_northern_hemisphere_swe_0.25grid.nc,5552.00
20140311_northern_hemisphere_swe_0.25grid.nc,3068.00
20140312_northern_hemisphere_swe_0.25grid.nc,4060.00
20140313_northern_hemisphere_swe_0.25grid.nc,5503.00
20140314_northern_hemisphere_swe_0.25grid.nc,3969.00
20140315_northern_hemisphere_swe_0.25grid.nc,4983.00
