File,SWE_Sum_mm
20151005_northern_hemisphere_swe_0.25grid.nc,0.00
20151006_northern_hemisphere_swe_0.25grid.nc,0.00
20151007_northern_hemisphere_swe_0.25grid.nc,0.00
20151008_northern_hemisphere_swe_0.25grid.nc,0.00
20151010_northern_hemisphere_swe_0.25grid.nc,0.00
20151011_northern_hemisphere_swe_0.25grid.nc,0.00
20151012_northern_hemisphere_swe_0.25grid.nc,0.00
20151013_northern_hemisphere_swe_0.25grid.nc,0.00
20151014_northern_hemisphere_swe_0.25grid.nc,0.00
20151015_northern_hemisphere_swe_0.25grid.nc,0.00
20151016_northern_hemisphere_swe_0.25grid.nc,0.00
20151017_northern_hemisphere_swe_0.25grid.nc,0.00
20151018_northern_hemisphere_swe_0.25grid.nc,0.00
20151019_northern_hemisphere_swe_0.25grid.nc,0.00
20151020_northern_hemisphere_swe_0.25grid.nc,0.00
20151021_northern_hemisphere_swe_0.25grid.nc,0.00
20151022_northern_hemisphere_swe_0.25grid.nc,0.00
20151023_northern_hemisphere_swe_0.25grid.nc,0.00
20151024_northern_hemisphere_swe_0.25grid.nc,0.00
20151025_northern_hemisphere_swe_0.25grid.nc,0.00
20151026_northern_hemisphere_swe_0.25grid.nc,0.00
20151027_northern_hemisphere_swe_0.25grid.nc,0.00
20151028_northern_hemisphere_swe_0.25grid.nc,0.00
20151029_northern_hemisphere_swe_0.25grid.nc,0.00
20151030_northern_hemisphere_swe_0.25grid.nc,0.00
20151031_northern_hemisphere_swe_0.25grid.nc,0.00
20151101_northern_hemisphere_swe_0.25grid.nc,0.00
20151102_northern_hemisphere_swe_0.25grid.nc,0.00
20151103_northern_hemisphere_swe_0.25grid.nc,0.00
20151104_northern_hemisphere_swe_0.25grid.nc,0.00
20151105_northern_hemisphere_swe_0.25grid.nc,0.00
20151106_northern_hemisphere_swe_0.25grid.nc,0.00
20151107_northern_hemisphere_swe_0.25grid.nc,0.00
20151108_northern_hemisphere_swe_0.25grid.nc,0.00
20151109_northern_hemisphere_swe_0.25grid.nc,0.00
20151111_northern_hemisphere_swe_0.25grid.nc,0.00
20151112_northern_hemisphere_swe_0.25grid.nc,0.00
20151113_northern_hemisphere_swe_0.25grid.nc,0.00
20151114_northern_hemisphere_swe_0.25grid.nc,0.00
20151115_northern_hemisphere_swe_0.25grid.nc,0.00
20151116_northern_hemisphere_swe_0.25grid.nc,0.00
20151117_northern_hemisphere_swe_0.25grid.nc,0.00
20151118_northern_hemisphere_swe_0.25grid.nc,0.00
20151119_northern_hemisphere_swe_0.25grid.nc,0.00
20151120_northern_hemisphere_swe_0.25grid.nc,0.00
20151121_northern_hemisphere_swe_0.25grid.nc,0.00
20151122_northern_hemisphere_swe_0.25grid.nc,0.00
20151123_northern_hemisphere_swe_0.25grid.nc,0.00
20151124_northern_hemisphere_swe_0.25grid.nc,0.00
20151125_northern_hemisphere_swe_0.25grid.nc,0.00
20151126_northern_hemisphere_swe_0.25grid.nc,0.00
20151127_northern_hemisphere_swe_0.25grid.nc,0.00
20151128_northern_hemisphere_swe_0.25grid.nc,0.00
