File,SWE_Sum_mm
20161020_northern_hemisphere_swe_0.25grid.nc,0.00
20161026_northern_hemisphere_swe_0.25grid.nc,0.00
20161027_northern_hemisphere_swe_0.25grid.nc,0.00
20161028_northern_hemisphere_swe_0.25grid.nc,0.00
20161029_northern_hemisphere_swe_0.25grid.nc,0.00
20161030_northern_hemisphere_swe_0.25grid.nc,0.00
20161031_northern_hemisphere_swe_0.25grid.nc,0.00
20161101_northern_hemisphere_swe_0.25grid.nc,0.00
20161102_northern_hemisphere_swe_0.25grid.nc,0.00
20161103_northern_hemisphere_swe_0.25grid.nc,0.00
20161104_northern_hemisphere_swe_0.25grid.nc,0.00
20161105_northern_hemisphere_swe_0.25grid.nc,0.00
20161106_northern_hemisphere_swe_0.25grid.nc,0.00
20161107_northern_hemisphere_swe_0.25grid.nc,0.00
20161108_northern_hemisphere_swe_0.25grid.nc,0.00
20161109_northern_hemisphere_swe_0.25grid.nc,0.00
20161110_northern_hemisphere_swe_0.25grid.nc,0.00
20161111_northern_hemisphere_swe_0.25grid.nc,0.00
20161112_northern_hemisphere_swe_0.25grid.nc,0.00
20161113_northern_hemisphere_swe_0.25grid.nc,0.00
20161114_northern_hemisphere_swe_0.25grid.nc,0.00
20161115_northern_hemisphere_swe_0.25grid.nc,0.00
20161116_northern_hemisphere_swe_0.25grid.nc,0.00
20161117_northern_hemisphere_swe_0.25grid.nc,0.00
20161118_northern_hemisphere_swe_0.25grid.nc,0.00
20161119_northern_hemisphere_swe_0.25grid.nc,0.00
20161120_northern_hemisphere_swe_0.25grid.nc,0.00
20161121_northern_hemisphere_swe_0.25grid.nc,0.00
20161122_northern_hemisphere_swe_0.25grid.nc,0.00
20161124_northern_hemisphere_swe_0.25grid.nc,0.00
20161125_northern_hemisphere_swe_0.25grid.nc,0.00
20161126_northern_hemisphere_swe_0.25grid.nc,0.00
20161127_northern_hemisphere_swe_0.25grid.nc,0.00
20161128_northern_hemisphere_swe_0.25grid.nc,0.00
20161130_northern_hemisphere_swe_0.25grid.nc,0.00
20161201_northern_hemisphere_swe_0.25grid.nc,0.00
20161202_northern_hemisphere_swe_0.25grid.nc,0.00
20161203_northern_hemisphere_swe_0.25grid.nc,0.00
20161207_northern_hemisphere_swe_0.25grid.nc,0.00
20161208_northern_hemisphere_swe_0.25grid.nc,0.00
20161209_northern_hemisphere_swe_0.25grid.nc,0.00
20161210_northern_hemisphere_swe_0.25grid.nc,0.00
20161211_northern_hemisphere_swe_0.25grid.nc,0.00
20161212_northern_hemisphere_swe_0.25grid.nc,0.00
20161213_northern_hemisphere_swe_0.25grid.nc,0.00
20161214_northern_hemisphere_swe_0.25grid.nc,0.00
20161215_northern_hemisphere_swe_0.25grid.nc,0.00
20161216_northern_hemisphere_swe_0.25grid.nc,0.00
20161217_northern_hemisphere_swe_0.25grid.nc,0.00
20161218_northern_hemisphere_swe_0.25grid.nc,0.00
20161219_northern_hemisphere_swe_0.25grid.nc,0.00
20161220_northern_hemisphere_swe_0.25grid.nc,0.00
20161221_northern_hemisphere_swe_0.25grid.nc,0.00
20161222_northern_hemisphere_swe_0.25grid.nc,0.00
20161223_northern_hemisphere_swe_0.25grid.nc,0.00
20161224_northern_hemisphere_swe_0.25grid.nc,0.00
20161225_northern_hemisphere_swe_0.25grid.nc,0.00
20161226_northern_hemisphere_swe_0.25grid.nc,0.00
20161227_northern_hemisphere_swe_0.25grid.nc,0.00
20161228_northern_hemisphere_swe_0.25grid.nc,0.00
20161229_northern_hemisphere_swe_0.25grid.nc,0.00
20161230_northern_hemisphere_swe_0.25grid.nc,0.00
20161231_northern_hemisphere_swe_0.25grid.nc,0.00
20170101_northern_hemisphere_swe_0.25grid.nc,0.00
20170102_northern_hemisphere_swe_0.25grid.nc,0.00
20170103_northern_hemisphere_swe_0.25grid.nc,0.00
20170104_northern_hemisphere_swe_0.25grid.nc,553.00
20170105_northern_hemisphere_swe_0.25grid.nc,1649.00
20170106_northern_hemisphere_swe_0.25grid.nc,2805.00
20170107_northern_hemisphere_swe_0.25grid.nc,2543.00
20170108_northern_hemisphere_swe_0.25grid.nc,1824.00
20170109_northern_hemisphere_swe_0.25grid.nc,1641.00
20170110_northern_hemisphere_swe_0.25grid.nc,879.00
20170111_northern_hemisphere_swe_0.25grid.nc,659.00
20170112_northern_hemisphere_swe_0.25grid.nc,495.00
20170113_northern_hemisphere_swe_0.25grid.nc,952.00
20170114_northern_hemisphere_swe_0.25grid.nc,1013.00
20170115_northern_hemisphere_swe_0.25grid.nc,1567.00
20170116_northern_hemisphere_swe_0.25grid.nc,1931.00
20170117_northern_hemisphere_swe_0.25grid.nc,555.00
20170118_northern_hemisphere_swe_0.25grid.nc,500.00
20170119_northern_hemisphere_swe_0.25grid.nc,450.00
20170120_northern_hemisphere_swe_0.25grid.nc,766.00
20170121_northern_hemisphere_swe_0.25grid.nc,416.00
20170122_northern_hemisphere_swe_0.25grid.nc,316.00
20170123_northern_hemisphere_swe_0.25grid.nc,240.00
20170124_northern_hemisphere_swe_0.25grid.nc,218.00
20170125_northern_hemisphere_swe_0.25grid.nc,213.00
20170126_northern_hemisphere_swe_0.25grid.nc,229.00
20170127_northern_hemisphere_swe_0.25grid.nc,771.00
