File,SWE_Sum_mm
20081029_northern_hemisphere_swe_0.25grid.nc,0.00
20081101_northern_hemisphere_swe_0.25grid.nc,0.00
20081102_northern_hemisphere_swe_0.25grid.nc,0.00
20081103_northern_hemisphere_swe_0.25grid.nc,0.00
20081105_northern_hemisphere_swe_0.25grid.nc,0.00
20081106_northern_hemisphere_swe_0.25grid.nc,0.00
20081107_northern_hemisphere_swe_0.25grid.nc,0.00
20081108_northern_hemisphere_swe_0.25grid.nc,0.00
20081109_northern_hemisphere_swe_0.25grid.nc,0.00
20081110_northern_hemisphere_swe_0.25grid.nc,0.00
20081111_northern_hemisphere_swe_0.25grid.nc,0.00
20081112_northern_hemisphere_swe_0.25grid.nc,0.00
20081114_northern_hemisphere_swe_0.25grid.nc,0.00
20081115_northern_hemisphere_swe_0.25grid.nc,0.00
20081116_northern_hemisphere_swe_0.25grid.nc,0.00
20081117_northern_hemisphere_swe_0.25grid.nc,0.00
20081118_northern_hemisphere_swe_0.25grid.nc,221.00
20081119_northern_hemisphere_swe_0.25grid.nc,687.00
20081120_northern_hemisphere_swe_0.25grid.nc,385.00
20081121_northern_hemisphere_swe_0.25grid.nc,538.00
20081122_northern_hemisphere_swe_0.25grid.nc,583.00
20081123_northern_hemisphere_swe_0.25grid.nc,557.00
20081124_northern_hemisphere_swe_0.25grid.nc,416.00
20081125_northern_hemisphere_swe_0.25grid.nc,376.00
20081126_northern_hemisphere_swe_0.25grid.nc,376.00
20081127_northern_hemisphere_swe_0.25grid.nc,453.00
20081128_northern_hemisphere_swe_0.25grid.nc,463.00
20081129_northern_hemisphere_swe_0.25grid.nc,876.00
20081130_northern_hemisphere_swe_0.25grid.nc,772.00
20081201_northern_hemisphere_swe_0.25grid.nc,924.00
20081202_northern_hemisphere_swe_0.25grid.nc,1500.00
20081203_northern_hemisphere_swe_0.25grid.nc,2995.00
20081204_northern_hemisphere_swe_0.25grid.nc,1098.00
20081205_northern_hemisphere_swe_0.25grid.nc,2812.00
