File,SWE_Sum_mm
20060213_northern_hemisphere_swe_0.25grid.nc,2656.00
20060214_northern_hemisphere_swe_0.25grid.nc,2578.00
20060215_northern_hemisphere_swe_0.25grid.nc,2374.00
20060216_northern_hemisphere_swe_0.25grid.nc,2110.00
20060217_northern_hemisphere_swe_0.25grid.nc,2248.00
20060218_northern_hemisphere_swe_0.25grid.nc,2485.00
20060219_northern_hemisphere_swe_0.25grid.nc,2486.00
20060220_northern_hemisphere_swe_0.25grid.nc,2559.00
20060221_northern_hemisphere_swe_0.25grid.nc,2690.00
20060222_northern_hemisphere_swe_0.25grid.nc,2214.00
20060223_northern_hemisphere_swe_0.25grid.nc,2195.00
20060224_northern_hemisphere_swe_0.25grid.nc,2411.00
20060225_northern_hemisphere_swe_0.25grid.nc,2423.00
20060226_northern_hemisphere_swe_0.25grid.nc,2645.00
20060227_northern_hemisphere_swe_0.25grid.nc,2508.00
20060228_northern_hemisphere_swe_0.25grid.nc,2626.00
20060301_northern_hemisphere_swe_0.25grid.nc,2300.00
20060302_northern_hemisphere_swe_0.25grid.nc,2447.00
20060303_northern_hemisphere_swe_0.25grid.nc,3085.00
20060304_northern_hemisphere_swe_0.25grid.nc,2866.00
20060305_northern_hemisphere_swe_0.25grid.nc,2722.00
20060306_northern_hemisphere_swe_0.25grid.nc,2498.00
20060307_northern_hemisphere_swe_0.25grid.nc,2345.00
20060308_northern_hemisphere_swe_0.25grid.nc,2389.00
20060309_northern_hemisphere_swe_0.25grid.nc,1519.00
20060310_northern_hemisphere_swe_0.25grid.nc,1205.00
20060311_northern_hemisphere_swe_0.25grid.nc,925.00
20060312_northern_hemisphere_swe_0.25grid.nc,558.00
20060313_northern_hemisphere_swe_0.25grid.nc,406.00
20060314_northern_hemisphere_swe_0.25grid.nc,378.00
20060315_northern_hemisphere_swe_0.25grid.nc,499.00
20060316_northern_hemisphere_swe_0.25grid.nc,407.00
20060317_northern_hemisphere_swe_0.25grid.nc,366.00
20060318_northern_hemisphere_swe_0.25grid.nc,387.00
20060319_northern_hemisphere_swe_0.25grid.nc,359.00
20060320_northern_hemisphere_swe_0.25grid.nc,371.00
20060321_northern_hemisphere_swe_0.25grid.nc,426.00
20060322_northern_hemisphere_swe_0.25grid.nc,436.00
20060323_northern_hemisphere_swe_0.25grid.nc,321.00
20060324_northern_hemisphere_swe_0.25grid.nc,454.00
20060325_northern_hemisphere_swe_0.25grid.nc,442.00
20060326_northern_hemisphere_swe_0.25grid.nc,204.00
20060327_northern_hemisphere_swe_0.25grid.nc,152.00
20060328_northern_hemisphere_swe_0.25grid.nc,272.00
20060329_northern_hemisphere_swe_0.25grid.nc,254.00
20060330_northern_hemisphere_swe_0.25grid.nc,163.00
20060331_northern_hemisphere_swe_0.25grid.nc,97.00
20060401_northern_hemisphere_swe_0.25grid.nc,50.00
20060402_northern_hemisphere_swe_0.25grid.nc,29.00
20060403_northern_hemisphere_swe_0.25grid.nc,0.00
20060404_northern_hemisphere_swe_0.25grid.nc,0.00
20060405_northern_hemisphere_swe_0.25grid.nc,0.00
20060406_northern_hemisphere_swe_0.25grid.nc,0.00
20060407_northern_hemisphere_swe_0.25grid.nc,0.00
20060408_northern_hemisphere_swe_0.25grid.nc,0.00
20060409_northern_hemisphere_swe_0.25grid.nc,0.00
20060410_northern_hemisphere_swe_0.25grid.nc,0.00
20060411_northern_hemisphere_swe_0.25grid.nc,0.00
20060412_northern_hemisphere_swe_0.25grid.nc,0.00
20060413_northern_hemisphere_swe_0.25grid.nc,0.00
20060414_northern_hemisphere_swe_0.25grid.nc,0.00
20060415_northern_hemisphere_swe_0.25grid.nc,0.00
20060416_northern_hemisphere_swe_0.25grid.nc,0.00
20060417_northern_hemisphere_swe_0.25grid.nc,0.00
20060418_northern_hemisphere_swe_0.25grid.nc,0.00
20060419_northern_hemisphere_swe_0.25grid.nc,0.00
20060420_northern_hemisphere_swe_0.25grid.nc,0.00
20060421_northern_hemisphere_swe_0.25grid.nc,0.00
20060422_northern_hemisphere_swe_0.25grid.nc,0.00
20060423_northern_hemisphere_swe_0.25grid.nc,0.00
20060424_northern_hemisphere_swe_0.25grid.nc,0.00
20060425_northern_hemisphere_swe_0.25grid.nc,0.00
20060426_northern_hemisphere_swe_0.25grid.nc,0.00
20060427_northern_hemisphere_swe_0.25grid.nc,0.00
20060428_northern_hemisphere_swe_0.25grid.nc,0.00
20060429_northern_hemisphere_swe_0.25grid.nc,0.00
20060430_northern_hemisphere_swe_0.25grid.nc,0.00
20060501_northern_hemisphere_swe_0.25grid.nc,0.00
20060502_northern_hemisphere_swe_0.25grid.nc,0.00
20060503_northern_hemisphere_swe_0.25grid.nc,0.00
20060504_northern_hemisphere_swe_0.25grid.nc,0.00
20060505_northern_hemisphere_swe_0.25grid.nc,0.00
20060506_northern_hemisphere_swe_0.25grid.nc,0.00
20060507_northern_hemisphere_swe_0.25grid.nc,0.00
20060508_northern_hemisphere_swe_0.25grid.nc,0.00
20060513_northern_hemisphere_swe_0.25grid.nc,0.00
20060514_northern_hemisphere_swe_0.25grid.nc,0.00
20060515_northern_hemisphere_swe_0.25grid.nc,0.00
20060516_northern_hemisphere_swe_0.25grid.nc,0.00
20060517_northern_hemisphere_swe_0.25grid.nc,0.00
20060518_northern_hemisphere_swe_0.25grid.nc,0.00
