File,SWE_Sum_mm
20041010_northern_hemisphere_swe_0.25grid.nc,0.00
20041011_northern_hemisphere_swe_0.25grid.nc,0.00
20041012_northern_hemisphere_swe_0.25grid.nc,0.00
20041013_northern_hemisphere_swe_0.25grid.nc,0.00
20041014_northern_hemisphere_swe_0.25grid.nc,0.00
20041015_northern_hemisphere_swe_0.25grid.nc,0.00
20041016_northern_hemisphere_swe_0.25grid.nc,0.00
20041020_northern_hemisphere_swe_0.25grid.nc,0.00
20041021_northern_hemisphere_swe_0.25grid.nc,0.00
20041022_northern_hemisphere_swe_0.25grid.nc,0.00
20041023_northern_hemisphere_swe_0.25grid.nc,0.00
20041024_northern_hemisphere_swe_0.25grid.nc,0.00
20041025_northern_hemisphere_swe_0.25grid.nc,0.00
20041026_northern_hemisphere_swe_0.25grid.nc,0.00
20041027_northern_hemisphere_swe_0.25grid.nc,0.00
20041028_northern_hemisphere_swe_0.25grid.nc,0.00
20041029_northern_hemisphere_swe_0.25grid.nc,0.00
20041030_northern_hemisphere_swe_0.25grid.nc,0.00
20041031_northern_hemisphere_swe_0.25grid.nc,0.00
20041101_northern_hemisphere_swe_0.25grid.nc,0.00
20041102_northern_hemisphere_swe_0.25grid.nc,0.00
20041103_northern_hemisphere_swe_0.25grid.nc,0.00
20041104_northern_hemisphere_swe_0.25grid.nc,0.00
20041105_northern_hemisphere_swe_0.25grid.nc,0.00
20041106_northern_hemisphere_swe_0.25grid.nc,0.00
20041107_northern_hemisphere_swe_0.25grid.nc,0.00
20041108_northern_hemisphere_swe_0.25grid.nc,0.00
20041109_northern_hemisphere_swe_0.25grid.nc,0.00
20041110_northern_hemisphere_swe_0.25grid.nc,0.00
20041111_northern_hemisphere_swe_0.25grid.nc,0.00
20041112_northern_hemisphere_swe_0.25grid.nc,0.00
20041113_northern_hemisphere_swe_0.25grid.nc,0.00
20041114_northern_hemisphere_swe_0.25grid.nc,0.00
20041115_northern_hemisphere_swe_0.25grid.nc,0.00
20041116_northern_hemisphere_swe_0.25grid.nc,0.00
20041117_northern_hemisphere_swe_0.25grid.nc,0.00
20041118_northern_hemisphere_swe_0.25grid.nc,0.00
20041119_northern_hemisphere_swe_0.25grid.nc,0.00
20041120_northern_hemisphere_swe_0.25grid.nc,0.00
20041121_northern_hemisphere_swe_0.25grid.nc,0.00
20041122_northern_hemisphere_swe_0.25grid.nc,0.00
20041123_northern_hemisphere_swe_0.25grid.nc,0.00
20041124_northern_hemisphere_swe_0.25grid.nc,0.00
20041125_northern_hemisphere_swe_0.25grid.nc,0.00
20041126_northern_hemisphere_swe_0.25grid.nc,0.00
20041127_northern_hemisphere_swe_0.25grid.nc,0.00
20041128_northern_hemisphere_swe_0.25grid.nc,0.00
20041129_northern_hemisphere_swe_0.25grid.nc,0.00
20041130_northern_hemisphere_swe_0.25grid.nc,0.00
20041201_northern_hemisphere_swe_0.25grid.nc,0.00
20041202_northern_hemisphere_swe_0.25grid.nc,0.00
20041203_northern_hemisphere_swe_0.25grid.nc,15.00
20041204_northern_hemisphere_swe_0.25grid.nc,0.00
20041205_northern_hemisphere_swe_0.25grid.nc,264.00
20041206_northern_hemisphere_swe_0.25grid.nc,85.00
20041207_northern_hemisphere_swe_0.25grid.nc,104.00
20041208_northern_hemisphere_swe_0.25grid.nc,0.00
20041209_northern_hemisphere_swe_0.25grid.nc,0.00
20041210_northern_hemisphere_swe_0.25grid.nc,0.00
20041211_northern_hemisphere_swe_0.25grid.nc,142.00
20041212_northern_hemisphere_swe_0.25grid.nc,165.00
20041213_northern_hemisphere_swe_0.25grid.nc,661.00
20041214_northern_hemisphere_swe_0.25grid.nc,2108.00
20041215_northern_hemisphere_swe_0.25grid.nc,2821.00
20041216_northern_hemisphere_swe_0.25grid.nc,1076.00
20041217_northern_hemisphere_swe_0.25grid.nc,1678.00
20041218_northern_hemisphere_swe_0.25grid.nc,1039.00
20041219_northern_hemisphere_swe_0.25grid.nc,1776.00
20041220_northern_hemisphere_swe_0.25grid.nc,2104.00
20041221_northern_hemisphere_swe_0.25grid.nc,1911.00
20041222_northern_hemisphere_swe_0.25grid.nc,1917.00
20041223_northern_hemisphere_swe_0.25grid.nc,2702.00
20041224_northern_hemisphere_swe_0.25grid.nc,3039.00
20041225_northern_hemisphere_swe_0.25grid.nc,3182.00
20041226_northern_hemisphere_swe_0.25grid.nc,3391.00
20041227_northern_hemisphere_swe_0.25grid.nc,3755.00
20041228_northern_hemisphere_swe_0.25grid.nc,3919.00
20041229_northern_hemisphere_swe_0.25grid.nc,2762.00
20041230_northern_hemisphere_swe_0.25grid.nc,2398.00
20041231_northern_hemisphere_swe_0.25grid.nc,1281.00
20050101_northern_hemisphere_swe_0.25grid.nc,617.00
20050102_northern_hemisphere_swe_0.25grid.nc,438.00
20050103_northern_hemisphere_swe_0.25grid.nc,251.00
