File,SWE_Sum_mm
20021002_northern_hemisphere_swe_0.25grid.nc,0.00
20021003_northern_hemisphere_swe_0.25grid.nc,0.00
20021004_northern_hemisphere_swe_0.25grid.nc,0.00
20021005_northern_hemisphere_swe_0.25grid.nc,0.00
20021006_northern_hemisphere_swe_0.25grid.nc,0.00
20021007_northern_hemisphere_swe_0.25grid.nc,0.00
20021008_northern_hemisphere_swe_0.25grid.nc,0.00
20021009_northern_hemisphere_swe_0.25grid.nc,0.00
20021011_northern_hemisphere_swe_0.25grid.nc,0.00
20021012_northern_hemisphere_swe_0.25grid.nc,0.00
20021013_northern_hemisphere_swe_0.25grid.nc,0.00
20021014_northern_hemisphere_swe_0.25grid.nc,0.00
20021017_northern_hemisphere_swe_0.25grid.nc,0.00
20021019_northern_hemisphere_swe_0.25grid.nc,0.00
20021020_northern_hemisphere_swe_0.25grid.nc,0.00
20021022_northern_hemisphere_swe_0.25grid.nc,0.00
20021023_northern_hemisphere_swe_0.25grid.nc,0.00
20021024_northern_hemisphere_swe_0.25grid.nc,0.00
20021025_northern_hemisphere_swe_0.25grid.nc,0.00
20021026_northern_hemisphere_swe_0.25grid.nc,0.00
20021027_northern_hemisphere_swe_0.25grid.nc,0.00
20021028_northern_hemisphere_swe_0.25grid.nc,0.00
20021029_northern_hemisphere_swe_0.25grid.nc,0.00
20021030_northern_hemisphere_swe_0.25grid.nc,0.00
20021031_northern_hemisphere_swe_0.25grid.nc,0.00
20021101_northern_hemisphere_swe_0.25grid.nc,0.00
20021102_northern_hemisphere_swe_0.25grid.nc,12.00
20021103_northern_hemisphere_swe_0.25grid.nc,0.00
20021104_northern_hemisphere_swe_0.25grid.nc,0.00
20021105_northern_hemisphere_swe_0.25grid.nc,0.00
20021106_northern_hemisphere_swe_0.25grid.nc,0.00
20021107_northern_hemisphere_swe_0.25grid.nc,0.00
20021108_northern_hemisphere_swe_0.25grid.nc,0.00
20021109_northern_hemisphere_swe_0.25grid.nc,0.00
20021110_northern_hemisphere_swe_0.25grid.nc,0.00
20021111_northern_hemisphere_swe_0.25grid.nc,0.00
20021112_northern_hemisphere_swe_0.25grid.nc,0.00
20021113_northern_hemisphere_swe_0.25grid.nc,0.00
20021114_northern_hemisphere_swe_0.25grid.nc,0.00
20021115_northern_hemisphere_swe_0.25grid.nc,0.00
20021116_northern_hemisphere_swe_0.25grid.nc,0.00
20021117_northern_hemisphere_swe_0.25grid.nc,22.00
20021118_northern_hemisphere_swe_0.25grid.nc,75.00
20021119_northern_hemisphere_swe_0.25grid.nc,25.00
20021120_northern_hemisphere_swe_0.25grid.nc,0.00
20021121_northern_hemisphere_swe_0.25grid.nc,0.00
20021122_northern_hemisphere_swe_0.25grid.nc,0.00
20021123_northern_hemisphere_swe_0.25grid.nc,0.00
20021124_northern_hemisphere_swe_0.25grid.nc,0.00
20021125_northern_hemisphere_swe_0.25grid.nc,0.00
20021126_northern_hemisphere_swe_0.25grid.nc,0.00
20021127_northern_hemisphere_swe_0.25grid.nc,71.00
20021128_northern_hemisphere_swe_0.25grid.nc,64.00
20021129_northern_hemisphere_swe_0.25grid.nc,88.00
20021130_northern_hemisphere_swe_0.25grid.nc,10.00
20021201_northern_hemisphere_swe_0.25grid.nc,220.00
20021202_northern_hemisphere_swe_0.25grid.nc,400.00
20021203_northern_hemisphere_swe_0.25grid.nc,366.00
20021204_northern_hemisphere_swe_0.25grid.nc,442.00
20021206_northern_hemisphere_swe_0.25grid.nc,412.00
20021207_northern_hemisphere_swe_0.25grid.nc,340.00
20021208_northern_hemisphere_swe_0.25grid.nc,338.00
20021209_northern_hemisphere_swe_0.25grid.nc,341.00
20021210_northern_hemisphere_swe_0.25grid.nc,311.00
20021211_northern_hemisphere_swe_0.25grid.nc,246.00
20021212_northern_hemisphere_swe_0.25grid.nc,204.00
20021213_northern_hemisphere_swe_0.25grid.nc,156.00
20021214_northern_hemisphere_swe_0.25grid.nc,108.00
20021215_northern_hemisphere_swe_0.25grid.nc,71.00
20021216_northern_hemisphere_swe_0.25grid.nc,744.00
20021217_northern_hemisphere_swe_0.25grid.nc,822.00
20021218_northern_hemisphere_swe_0.25grid.nc,340.00
20021219_northern_hemisphere_swe_0.25grid.nc,241.00
20021220_northern_hemisphere_swe_0.25grid.nc,0.00
20021221_northern_hemisphere_swe_0.25grid.nc,179.00
20021222_northern_hemisphere_swe_0.25grid.nc,176.00
20021223_northern_hemisphere_swe_0.25grid.nc,222.00
20021224_northern_hemisphere_swe_0.25grid.nc,315.00
20021225_northern_hemisphere_swe_0.25grid.nc,664.00
20021226_northern_hemisphere_swe_0.25grid.nc,872.00
20021227_northern_hemisphere_swe_0.25grid.nc,715.00
20021229_northern_hemisphere_swe_0.25grid.nc,658.00
20021230_northern_hemisphere_swe_0.25grid.nc,481.00
20021231_northern_hemisphere_swe_0.25grid.nc,66.00
20030101_northern_hemisphere_swe_0.25grid.nc,23.00
20030102_northern_hemisphere_swe_0.25grid.nc,65.00
20030103_northern_hemisphere_swe_0.25grid.nc,353.00
20030104_northern_hemisphere_swe_0.25grid.nc,524.00
20030105_northern_hemisphere_swe_0.25grid.nc,683.00
20030106_northern_hemisphere_swe_0.25grid.nc,925.00
20030107_northern_hemisphere_swe_0.25grid.nc,1119.00
20030108_northern_hemisphere_swe_0.25grid.nc,871.00
20030109_northern_hemisphere_swe_0.25grid.nc,572.00
20030110_northern_hemisphere_swe_0.25grid.nc,1461.00
20030111_northern_hemisphere_swe_0.25grid.nc,2194.00
20030112_northern_hemisphere_swe_0.25grid.nc,2450.00
20030113_northern_hemisphere_swe_0.25grid.nc,2610.00
20030114_northern_hemisphere_swe_0.25grid.nc,2375.00
20030116_northern_hemisphere_swe_0.25grid.nc,3065.00
20030117_northern_hemisphere_swe_0.25grid.nc,3148.00
20030118_northern_hemisphere_swe_0.25grid.nc,3054.00
20030119_northern_hemisphere_swe_0.25grid.nc,3227.00
20030120_northern_hemisphere_swe_0.25grid.nc,3183.00
20030121_northern_hemisphere_swe_0.25grid.nc,3371.00
20030122_northern_hemisphere_swe_0.25grid.nc,3171.00
20030123_northern_hemisphere_swe_0.25grid.nc,3321.00
20030124_northern_hemisphere_swe_0.25grid.nc,3728.00
20030125_northern_hemisphere_swe_0.25grid.nc,3614.00
20030126_northern_hemisphere_swe_0.25grid.nc,4434.00
20030127_northern_hemisphere_swe_0.25grid.nc,4401.00
20030128_northern_hemisphere_swe_0.25grid.nc,4257.00
20030129_northern_hemisphere_swe_0.25grid.nc,4290.00
20030130_northern_hemisphere_swe_0.25grid.nc,4026.00
20030131_northern_hemisphere_swe_0.25grid.nc,3815.00
20030201_northern_hemisphere_swe_0.25grid.nc,3681.00
20030202_northern_hemisphere_swe_0.25grid.nc,3499.00
20030203_northern_hemisphere_swe_0.25grid.nc,3281.00
20030204_northern_hemisphere_swe_0.25grid.nc,2859.00
20030205_northern_hemisphere_swe_0.25grid.nc,3548.00
20030206_northern_hemisphere_swe_0.25grid.nc,3495.00
20030207_northern_hemisphere_swe_0.25grid.nc,3821.00
20030208_northern_hemisphere_swe_0.25grid.nc,3779.00
20030209_northern_hemisphere_swe_0.25grid.nc,4000.00
20030210_northern_hemisphere_swe_0.25grid.nc,3892.00
