File,SWE_Sum_mm
20071010_northern_hemisphere_swe_0.25grid.nc,0.00
20071011_northern_hemisphere_swe_0.25grid.nc,0.00
20071012_northern_hemisphere_swe_0.25grid.nc,0.00
20071013_northern_hemisphere_swe_0.25grid.nc,0.00
20071014_northern_hemisphere_swe_0.25grid.nc,0.00
20071015_northern_hemisphere_swe_0.25grid.nc,0.00
20071016_northern_hemisphere_swe_0.25grid.nc,0.00
20071017_northern_hemisphere_swe_0.25grid.nc,0.00
20071018_northern_hemisphere_swe_0.25grid.nc,0.00
20071019_northern_hemisphere_swe_0.25grid.nc,0.00
20071020_northern_hemisphere_swe_0.25grid.nc,0.00
20071021_northern_hemisphere_swe_0.25grid.nc,0.00
20071102_northern_hemisphere_swe_0.25grid.nc,0.00
20071103_northern_hemisphere_swe_0.25grid.nc,0.00
20071104_northern_hemisphere_swe_0.25grid.nc,0.00
20071105_northern_hemisphere_swe_0.25grid.nc,0.00
20071106_northern_hemisphere_swe_0.25grid.nc,0.00
20071107_northern_hemisphere_swe_0.25grid.nc,0.00
20071108_northern_hemisphere_swe_0.25grid.nc,0.00
20071109_northern_hemisphere_swe_0.25grid.nc,0.00
20071110_northern_hemisphere_swe_0.25grid.nc,0.00
20071113_northern_hemisphere_swe_0.25grid.nc,0.00
20071114_northern_hemisphere_swe_0.25grid.nc,0.00
20071115_northern_hemisphere_swe_0.25grid.nc,0.00
20071116_northern_hemisphere_swe_0.25grid.nc,0.00
20071117_northern_hemisphere_swe_0.25grid.nc,0.00
20071119_northern_hemisphere_swe_0.25grid.nc,0.00
20071120_northern_hemisphere_swe_0.25grid.nc,0.00
20071121_northern_hemisphere_swe_0.25grid.nc,0.00
20071122_northern_hemisphere_swe_0.25grid.nc,0.00
20071123_northern_hemisphere_swe_0.25grid.nc,220.00
20071124_northern_hemisphere_swe_0.25grid.nc,63.00
20071125_northern_hemisphere_swe_0.25grid.nc,26.00
20071126_northern_hemisphere_swe_0.25grid.nc,0.00
20071127_northern_hemisphere_swe_0.25grid.nc,12.00
20071128_northern_hemisphere_swe_0.25grid.nc,161.00
20071129_northern_hemisphere_swe_0.25grid.nc,408.00
20071130_northern_hemisphere_swe_0.25grid.nc,647.00
20071201_northern_hemisphere_swe_0.25grid.nc,739.00
20071202_northern_hemisphere_swe_0.25grid.nc,1092.00
20071203_northern_hemisphere_swe_0.25grid.nc,1270.00
20071204_northern_hemisphere_swe_0.25grid.nc,2557.00
20071205_northern_hemisphere_swe_0.25grid.nc,3034.00
20071206_northern_hemisphere_swe_0.25grid.nc,3113.00
20071207_northern_hemisphere_swe_0.25grid.nc,1910.00
20071208_northern_hemisphere_swe_0.25grid.nc,1866.00
20071209_northern_hemisphere_swe_0.25grid.nc,2262.00
20071210_northern_hemisphere_swe_0.25grid.nc,2488.00
20071211_northern_hemisphere_swe_0.25grid.nc,3225.00
20071212_northern_hemisphere_swe_0.25grid.nc,2947.00
20071213_northern_hemisphere_swe_0.25grid.nc,1398.00
20071214_northern_hemisphere_swe_0.25grid.nc,2777.00
20071215_northern_hemisphere_swe_0.25grid.nc,2819.00
20071216_northern_hemisphere_swe_0.25grid.nc,3061.00
20071217_northern_hemisphere_swe_0.25grid.nc,4522.00
20071218_northern_hemisphere_swe_0.25grid.nc,4770.00
20071219_northern_hemisphere_swe_0.25grid.nc,3079.00
20071220_northern_hemisphere_swe_0.25grid.nc,3915.00
20071221_northern_hemisphere_swe_0.25grid.nc,3059.00
20071222_northern_hemisphere_swe_0.25grid.nc,2410.00
20071223_northern_hemisphere_swe_0.25grid.nc,1523.00
20071224_northern_hemisphere_swe_0.25grid.nc,2797.00
20071225_northern_hemisphere_swe_0.25grid.nc,3054.00
20071226_northern_hemisphere_swe_0.25grid.nc,2465.00
20071227_northern_hemisphere_swe_0.25grid.nc,2292.00
20071228_northern_hemisphere_swe_0.25grid.nc,2558.00
20071229_northern_hemisphere_swe_0.25grid.nc,1223.00
20071230_northern_hemisphere_swe_0.25grid.nc,2307.00
20071231_northern_hemisphere_swe_0.25grid.nc,2788.00
20080101_northern_hemisphere_swe_0.25grid.nc,3345.00
20080102_northern_hemisphere_swe_0.25grid.nc,4086.00
20080103_northern_hemisphere_swe_0.25grid.nc,4040.00
20080104_northern_hemisphere_swe_0.25grid.nc,3841.00
20080105_northern_hemisphere_swe_0.25grid.nc,1969.00
20080106_northern_hemisphere_swe_0.25grid.nc,1487.00
20080107_northern_hemisphere_swe_0.25grid.nc,620.00
20080108_northern_hemisphere_swe_0.25grid.nc,60.00
20080109_northern_hemisphere_swe_0.25grid.nc,0.00
20080111_northern_hemisphere_swe_0.25grid.nc,0.00
