File,SWE_Sum_mm
20111008_northern_hemisphere_swe_0.25grid.nc,0.00
20111010_northern_hemisphere_swe_0.25grid.nc,0.00
20111011_northern_hemisphere_swe_0.25grid.nc,0.00
20111012_northern_hemisphere_swe_0.25grid.nc,0.00
20111019_northern_hemisphere_swe_0.25grid.nc,0.00
20111020_northern_hemisphere_swe_0.25grid.nc,0.00
20111027_northern_hemisphere_swe_0.25grid.nc,0.00
20111028_northern_hemisphere_swe_0.25grid.nc,0.00
20111029_northern_hemisphere_swe_0.25grid.nc,0.00
20111030_northern_hemisphere_swe_0.25grid.nc,0.00
20111031_northern_hemisphere_swe_0.25grid.nc,0.00
20111101_northern_hemisphere_swe_0.25grid.nc,0.00
20111102_northern_hemisphere_swe_0.25grid.nc,0.00
20111103_northern_hemisphere_swe_0.25grid.nc,0.00
20111104_northern_hemisphere_swe_0.25grid.nc,0.00
20111105_northern_hemisphere_swe_0.25grid.nc,0.00
20111106_northern_hemisphere_swe_0.25grid.nc,0.00
20111107_northern_hemisphere_swe_0.25grid.nc,0.00
20111108_northern_hemisphere_swe_0.25grid.nc,0.00
20111109_northern_hemisphere_swe_0.25grid.nc,0.00
20111110_northern_hemisphere_swe_0.25grid.nc,0.00
20111111_northern_hemisphere_swe_0.25grid.nc,0.00
20111112_northern_hemisphere_swe_0.25grid.nc,0.00
20111113_northern_hemisphere_swe_0.25grid.nc,0.00
20111114_northern_hemisphere_swe_0.25grid.nc,0.00
20111115_northern_hemisphere_swe_0.25grid.nc,0.00
20111116_northern_hemisphere_swe_0.25grid.nc,0.00
20111117_northern_hemisphere_swe_0.25grid.nc,0.00
20111118_northern_hemisphere_swe_0.25grid.nc,0.00
20111119_northern_hemisphere_swe_0.25grid.nc,0.00
20111120_northern_hemisphere_swe_0.25grid.nc,0.00
20111121_northern_hemisphere_swe_0.25grid.nc,0.00
20111122_northern_hemisphere_swe_0.25grid.nc,0.00
20111123_northern_hemisphere_swe_0.25grid.nc,0.00
20111124_northern_hemisphere_swe_0.25grid.nc,0.00
20111125_northern_hemisphere_swe_0.25grid.nc,0.00
20111126_northern_hemisphere_swe_0.25grid.nc,0.00
20111127_northern_hemisphere_swe_0.25grid.nc,0.00
20111128_northern_hemisphere_swe_0.25grid.nc,0.00
20111129_northern_hemisphere_swe_0.25grid.nc,0.00
20111130_northern_hemisphere_swe_0.25grid.nc,0.00
20111201_northern_hemisphere_swe_0.25grid.nc,0.00
20111202_northern_hemisphere_swe_0.25grid.nc,0.00
20111203_northern_hemisphere_swe_0.25grid.nc,0.00
20111204_northern_hemisphere_swe_0.25grid.nc,0.00
20111205_northern_hemisphere_swe_0.25grid.nc,0.00
20111206_northern_hemisphere_swe_0.25grid.nc,0.00
20111207_northern_hemisphere_swe_0.25grid.nc,0.00
20111208_northern_hemisphere_swe_0.25grid.nc,0.00
20111209_northern_hemisphere_swe_0.25grid.nc,0.00
